index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,754,垂直, ,中央电视台综合频道,AVS+,DRA,开锁,512,650, , ,玩玩卫视 2017-01-20, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,754,垂直, ,中央电视台经济频道,AVS+,DRA,开锁,513,660, , ,玩玩卫视 2017-01-20, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,754,垂直, ,[中央电视台中文国际频道](http://www.thmz.com/),AVS+,DRA,开锁,514,670, , ,玩玩卫视 2017-01-20, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,754,垂直, ,中央电视台科教频道,AVS+,DRA,开锁,515,680, , ,玩玩卫视 2017-01-20, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,754,垂直, ,中央电视台社会与法频道,AVS+,DRA,开锁,516,690, , ,玩玩卫视 2017-01-20, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,754,垂直, ,[中央电视台新闻频道](http://www.thmz.com/),AVS+,DRA,开锁,517,700, , ,玩玩卫视 2017-01-20, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,754,垂直, ,中央电视台少儿频道,AVS+,DRA,开锁,518,710, , ,玩玩卫视 2017-01-20, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,754,垂直, ,中央电视台音乐频道,AVS+,DRA,开锁,519,720, , ,玩玩卫视 2017-01-20, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,794,垂直, ,[中央电视台军事农业频道](http://www.cctv.com),AVS+,DRA,开锁,512,650, , ,玩玩卫视 2017-01-20, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,794,垂直, ,[中央电视台记录频道](http://www.cctv.com),AVS+,DRA,开锁,513,660, , ,玩玩卫视 2017-01-20, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,794,垂直, ,[中央电视台戏曲频道](http://www.cctv.com),AVS+,DRA,开锁,514,670, , ,玩玩卫视 2017-01-20, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,794,垂直, ,中央电视台英语新闻频道,AVS+,DRA,开锁,515,680, , ,玩玩卫视 2017-01-20, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,794,垂直, ,黑龙江卫视,AVS+,DRA,开锁, , , , ,玩玩卫视 2017-01-20, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,794,垂直, ,宝泉岭电视台,AVS+,DRA,开锁, , , , ,玩玩卫视 2017-01-20, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
