index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,634, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,嫩江, ,新乡原阳 2023-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,634, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,嫩江, ,新乡原阳 2023-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,634, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,嫩江, ,新乡原阳 2023-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,634, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,嫩江, ,新乡原阳 2023-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,634, , ,嫩江新闻,AVS+,DRA,开锁,66,67,嫩江, ,新乡原阳 2023-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,634, , ,嫩江综合,AVS+,DRA,开锁, , ,嫩江, ,新乡原阳 2023-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,634, , ,黑河公共,AVS+,DRA,开锁, , ,嫩江, ,新乡原阳 2023-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,642, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,嫩江, ,刘学文 2021-08-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,642, , ,中央电视台财经频道,AVS+,DRA,开锁,513,660,嫩江, ,刘学文 2021-08-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,642, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,嫩江, ,刘学文 2021-08-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,642, , ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,嫩江, ,刘学文 2021-08-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,642, , ,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690,嫩江, ,刘学文 2021-08-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,642, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,嫩江, ,刘学文 2021-08-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,642, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,嫩江, ,刘学文 2021-08-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,642, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,嫩江, ,刘学文 2021-08-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,642, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650, , ,WOSHIHEGE 2019-03-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,642, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660, , ,WOSHIHEGE 2019-03-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,642, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670, , ,WOSHIHEGE 2019-03-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,642, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680, , ,WOSHIHEGE 2019-03-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,754, , ,中央电视台财经频道,AVS+,DRA,开锁, , , , ,WOSHIHEGE 2019-03-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,754, , ,中央电视台中文国际频道,AVS+,DRA,开锁, , , , ,WOSHIHEGE 2019-03-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,754, , ,中央电视台农业农村频道,AVS+,DRA,开锁, , , , ,WOSHIHEGE 2019-03-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,754, , ,中央电视台新闻频道,AVS+,DRA,开锁, , , , ,WOSHIHEGE 2019-03-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
23,762, , ,黑龙江卫视,AVS+,DRA,开锁, , , , ,WOSHIHEGE 2019-03-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
24,762, , ,黑龙江公共,AVS+,DRA,开锁, , , , ,WOSHIHEGE 2019-03-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
25,762, , ,黑河电视台,AVS+,DRA,开锁, , , , ,WOSHIHEGE 2019-03-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
