index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,171, , ,深州综合, , , , , ,深州, ,junshuai886 2023-05-09,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,171, , ,深州综合, , , , , ,深州, ,junshuai886 2023-05-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,179, , ,饶阳高清,AVS+,MPEG-2,开锁,258,259,饶阳,4QAM PN420 4/5(0.8),junshuai880 2023-11-02,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,474, ,25,枣强综合,MPEG-2,MPEG-1, ,128,34,枣强,16QAM 4/5(0.8),预览满天星 2023-07-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,474, ,1003,【河北卫视】,AVS+,DRA,开锁,36,37,枣强,16QAM 4/5(0.8),预览满天星 2023-07-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,474, ,1004,【河北经济】,AVS+,DRA,开锁,40,41,枣强,16QAM 4/5(0.8),预览满天星 2023-07-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,474, ,1005,【河北影视】,AVS+,DRA,开锁,44,45,枣强,16QAM 4/5(0.8),预览满天星 2023-07-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,474, ,1006,【河北公共】,AVS+,DRA,开锁,48,49,枣强,16QAM 4/5(0.8),预览满天星 2023-07-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,474, ,1007,【河北农民】,AVS+,DRA,开锁,52,53,枣强,16QAM 4/5(0.8),预览满天星 2023-07-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,474, ,6401,枣强新闻综合广播, , , , ,6501,枣强,16QAM 4/5(0.8),预览满天星 2023-07-17,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,474,水平, ,中央电视台综合频道,AVS+,MPEG-1,开锁,69,68,武邑, ,且听风吟2020-05-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,474,水平, ,中央电视台财经频道,AVS+,MPEG-1, ,1296,1568,武邑, ,且听风吟2020-05-12,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,474,水平, ,中央电视台综艺频道,AVS+,MPEG-1, ,58,59,武邑, ,且听风吟2020-05-12,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,474,水平, ,中央电视台中文国际频道,AVS+,MPEG-1, ,64,65,武邑, ,且听风吟2020-05-12,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,474,水平, ,中央电视台体育频道,AVS+,MPEG-1, ,70,71,武邑, ,且听风吟2020-05-12,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
