index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,195, , ,广东体育,MPEG-2,MPEG-2,开锁,1031,1032,紫金义容笔架山, ,楚香♥逍遥 2022-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,195, , ,广东公共,MPEG-2,MPEG-2,开锁,1041,1042,紫金义容笔架山, ,楚香♥逍遥 2022-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,195, , ,广东经济科教（TVS1）,MPEG-2,MPEG-2,开锁,2211,2212,紫金义容笔架山, ,楚香♥逍遥 2022-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,195, , ,广东珠江,MPEG-2,MPEG-2,开锁,769,770,紫金义容笔架山, ,楚香♥逍遥 2022-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,219, ,1,广东体育,MPEG-2,DRA,开锁,5001,5002,龙川,64QAM PN420 3/5(0.6),chuan aiyue0306 2023-06-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,219, ,2,广东珠江,MPEG-2,DRA,开锁,5003,5004,龙川,64QAM PN420 3/5(0.6),chuan aiyue0306 2023-06-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,219, ,3,河源综合,MPEG-2,DRA,开锁,5005,5006,龙川,64QAM PN420 3/5(0.6),chuan aiyue0306 2023-06-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,219, ,4,广东经济科教（TVS1）,MPEG-2,DRA,开锁,5007,5008,龙川,64QAM PN420 3/5(0.6),chuan aiyue0306 2023-06-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,219, ,5,龙川台,MPEG-2,DRA,开锁,5009,5010,龙川,64QAM PN420 3/5(0.6),chuan aiyue0306 2023-06-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,474, ,1,广东体育,MPEG-2,DRA,开锁,5001,5002,和平县 东山岭发射台, ,和平15089418254 2022-08-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,474, ,2,广东珠江,MPEG-2,DRA,开锁,5003,5004,和平县 东山岭发射台, ,和平15089418254 2022-08-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,474, ,3,广东经济科教（TVS1）,MPEG-2,DRA,开锁,5005,5006,和平县 东山岭发射台, ,和平15089418254 2022-08-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,474, ,4,河源综合,MPEG-2,DRA,开锁,5007,5008,和平县 东山岭发射台, ,和平15089418254 2022-08-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,474, ,5,和平台,MPEG-2,DRA,开锁,5009,5010,和平县 东山岭发射台, ,和平15089418254 2022-08-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,490,水平,1,广东体育,MPEG-2,DRA,开锁,5001,5002,东源, ,因为有妳2022-08-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
