index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,195, , ,广西卫视,AVS+,DRA,开锁, , ,里松镇, ,卫视中文2023-07-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,195, , ,广西新闻,AVS+,DRA,开锁, , ,里松镇, ,卫视中文2023-07-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,195, , ,贺州新闻综合,AVS+,DRA,开锁, , ,里松镇, ,卫视中文2023-07-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,482, , ,广西卫视,AVS+,DRA,开锁, , ,富川, ,卫视中文2023-07-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,482, , ,广西新闻,AVS+,DRA,开锁, , ,富川, ,卫视中文2023-07-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,482, , ,贺州新闻综合,AVS+,DRA,开锁, , ,富川, ,卫视中文2023-07-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,482, , ,富川综合,AVS+,DRA,开锁, , ,富川, ,卫视中文2023-07-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,538, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,灵峰镇 昭平县马江镇,32QAM PN595 4/5(0.6),我要看HDTV 2023-05-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,538, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,灵峰镇 昭平县马江镇,32QAM PN595 4/5(0.6),我要看HDTV 2023-05-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,538, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,灵峰镇 昭平县马江镇,32QAM PN595 4/5(0.6),我要看HDTV 2023-05-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,538, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,灵峰镇 昭平县马江镇,32QAM PN595 4/5(0.6),我要看HDTV 2023-05-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
