index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,171, ,5,中央电视台综合高清频道,HEVC,AAC,开锁,45,46,濉溪县,16QAM 4/5(0.8),寻乌乡村2022-10-22,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,171, ,6,中央电视台财经高清频道,HEVC,AAC,开锁,48,49,濉溪县,16QAM 4/5(0.8),寻乌乡村2022-10-22,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,171, ,7,中央电视台综艺高清频道,HEVC,AAC,开锁,51,52,濉溪县,16QAM 4/5(0.8),寻乌乡村2022-10-22,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,171, ,8,中央电视台中文国际高清频道,HEVC,AAC,开锁,54,55,濉溪县,16QAM 4/5(0.8),寻乌乡村2022-10-22,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,171, ,9,中央电视台体育高清频道,HEVC,AAC,开锁,57,58,濉溪县,16QAM 4/5(0.8),寻乌乡村2022-10-22,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,171, ,10,中央电视台电影高清频道,HEVC,AAC,开锁,60,61,濉溪县,16QAM 4/5(0.8),寻乌乡村2022-10-22,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,498, , ,中央电视台国防军事高清频道,HEVC,AAC,开锁, , ,濉溪县, ,寻乌乡村2022-10-22,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,498, , ,中央电视台电视剧高清频道,HEVC,AAC,开锁, , ,濉溪县, ,寻乌乡村2022-10-22,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,498, , ,中央电视台纪录高清频道,HEVC,AAC,开锁, , ,濉溪县, ,寻乌乡村2022-10-22,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,498, , ,中央电视台科教高清频道,HEVC,AAC,开锁, , ,濉溪县, ,寻乌乡村2022-10-22,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
