index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,490,水平,80,湖南卫视,AVS+,MPEG-1,开锁,81,82,雪峰山,16QAM PN420 4/5(0.8),火星无线电 2022-05-24,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,490,水平,90,湖南经视,AVS+,MPEG-1,开锁,91,92,雪峰山,16QAM PN420 4/5(0.8),火星无线电 2022-05-24,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,490,水平,300,湖南都市,AVS+,MPEG-1,开锁,301,302,雪峰山,16QAM PN420 4/5(0.8),火星无线电 2022-05-24,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,522,水平,100,湖南卫视,AVS+,DRA,开锁,101,102,雪峰山 鹤城,16QAM PN945 4/5(0.8),时间过客 边城流星 2023-10-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,522,水平, ,湖南经视,AVS+,DRA,开锁, , ,雪峰山 鹤城,16QAM PN945 4/5(0.8),时间过客 边城流星 2023-10-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,522,水平, ,湖南都市,AVS+,DRA,开锁, , ,雪峰山 鹤城,16QAM PN945 4/5(0.8),时间过客 边城流星 2023-10-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,522,水平, ,湖南娱乐,AVS+,DRA,开锁, , ,雪峰山 鹤城,16QAM PN945 4/5(0.8),时间过客 边城流星 2023-10-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,522,水平, ,湖南电视剧,AVS+,DRA,开锁, , ,雪峰山 鹤城,16QAM PN945 4/5(0.8),时间过客 边城流星 2023-10-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,522,水平, ,金鹰纪实,AVS+,DRA,开锁, , ,雪峰山 鹤城,16QAM PN945 4/5(0.8),时间过客 边城流星 2023-10-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,522,水平, ,金鹰卡通,AVS+,DRA,开锁, , ,雪峰山 鹤城,16QAM PN945 4/5(0.8),时间过客 边城流星 2023-10-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,522,水平, ,湖南爱晚,AVS+,DRA,开锁, , ,雪峰山 鹤城,16QAM PN945 4/5(0.8),时间过客 边城流星 2023-10-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,522,水平, ,湖南教育,AVS+,DRA,开锁, , ,雪峰山 鹤城,16QAM PN945 4/5(0.8),时间过客 边城流星 2023-10-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,522,水平, ,潇湘电影,AVS+,DRA,开锁, , ,雪峰山 鹤城,16QAM PN945 4/5(0.8),时间过客 边城流星 2023-10-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,530, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,雪峰山 鹤城,16QAM PN945 4/5(0.8),时间过客 边城流星 2023-10-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
