index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,凤台发射台, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,474, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,凤台发射台, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,474, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,凤台发射台, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,474, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,凤台发射台, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,474, , ,安徽卫视,AVS+,DRA,开锁, , ,凤台发射台, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,474, , ,安徽经济,AVS+,DRA,开锁, , ,凤台发射台, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,474, , ,安徽公共,AVS+,DRA,开锁, , ,凤台发射台, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,474, , ,凤台一套,AVS+,DRA,开锁, , ,凤台发射台, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,474, , ,凤台三套,AVS+,DRA,开锁, , ,凤台发射台, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,482, , ,凤台综合,AVS+,DRA,开锁, , ,凤台发射台, ,徽视天下2023-12-03,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,482, , ,凤台文化生活,AVS+,DRA,开锁, , ,凤台发射台, ,徽视天下2023-12-03,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,498, , ,安徽卫视,AVS,MPEG-1,开锁,1011,1012, , ,徽视天下 2021-01-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,498, , ,中央电视台综合频道,AVS, , , , , , ,徽视天下 2021-01-02,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,498, , ,山西卫视,AVS, , , , , , ,徽视天下 2021-01-02,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,498, , ,安徽综艺频道,AVS, , , , , , ,徽视天下 2021-01-02,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,498, , ,安徽科教频道,AVS, , , , , , ,徽视天下 2021-01-02,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,498, , ,安徽经济频道,AVS, , , , , , ,徽视天下 2021-01-02,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,498, , ,安徽公共频道,AVS, , , , , , ,徽视天下 2021-01-02,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,498, , ,安徽影视频道,AVS, , , , , , ,徽视天下 2021-01-02,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,498, , ,淮南一套,AVS, ,开锁, , , , ,徽视天下 2021-01-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,498, , ,淮南二套,AVS, ,开锁, , , , ,徽视天下 2021-01-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,498, , ,县台1,AVS, , , , , , ,徽视天下 2021-01-02,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,522, , ,【潘集区一套高清频道】,MPEG-4,MPEG-2,开锁,273,274,潘集发射台, ,徽视天下2020-12-14,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
23,562, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,凤台发射台, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
24,562, , ,中央电视台财经频道,AVS+,DRA,开锁,513,660,凤台发射台, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
25,562, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,凤台发射台, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
26,562, , ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,凤台发射台, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
27,562, , ,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690,凤台发射台, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
28,562, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,凤台发射台, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
29,562, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,凤台发射台, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
30,562, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,凤台发射台, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
31,562, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,舜耕山发射台, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
32,562, , ,中央电视台财经频道,AVS+,DRA,开锁,513,660,舜耕山发射台, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
33,562, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,舜耕山发射台, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
34,562, , ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,舜耕山发射台, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
35,562, , ,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690,舜耕山发射台, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
36,562, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,舜耕山发射台, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
37,562, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,舜耕山发射台, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
