index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,179, ,1,武穴综合,AVS+,DRA,开锁,51,52,武穴,64QAM PN420 3/5(0.6),胡迟 2023-03-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,179, ,2,武穴影视,AVS+,DRA,开锁,54,55,武穴,64QAM PN420 3/5(0.6),胡迟 2023-03-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,179, ,4001,黄冈新闻综合,AVS+,DRA,开锁,33,34,武穴,64QAM PN420 3/5(0.6),胡迟 2023-03-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,179, ,4002,湖北卫视,AVS+,MPEG-1,开锁,36,37,武穴,64QAM PN420 3/5(0.6),胡迟 2023-03-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,179, ,4003,湖北垄上,AVS+,DRA,开锁,39,40,武穴,64QAM PN420 3/5(0.6),胡迟 2023-03-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,179, ,4006,湖北综合,AVS+,DRA,开锁,49,59,武穴,64QAM PN420 3/5(0.6),胡迟 2023-03-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,179, ,4007,湖北公共新闻,AVS+,MPEG-1,开锁,57,58,武穴,64QAM PN420 3/5(0.6),胡迟 2023-03-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,179, ,4008,湖北经视,AVS+,DRA,开锁,61,62,武穴,64QAM PN420 3/5(0.6),胡迟 2023-03-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,179, ,1,蕲春综合,AVS+,MPEG-1,开锁,769,770,蕲春县,16QAM 4/5(0.8),hbtv520 2023-08-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,179, ,2,蕲春旅游养生,AVS+,MPEG-1,开锁,1025,1026,蕲春县,16QAM 4/5(0.8),hbtv520 2023-08-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
