index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,506, , ,安徽卫视,AVS+,DRA,开锁, , ,市区,16QAM PN945 4/5(0.8),半夏的回忆2020-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,506, ,503,安徽经济生活,AVS+,DRA,开锁,769,770,市区,16QAM PN945 4/5(0.8),半夏的回忆2020-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,506, , ,安徽影视,AVS+,DRA,开锁, , ,市区,16QAM PN945 4/5(0.8),半夏的回忆2020-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,506, , ,安徽综艺体育,AVS+,DRA,开锁, , ,市区,16QAM PN945 4/5(0.8),半夏的回忆2020-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,506, ,505,安徽公共,AVS+,DRA,开锁,1281,1282,市区,16QAM PN945 4/5(0.8),半夏的回忆2020-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,506, ,506,安徽农业科教,AVS+,DRA,开锁,1537,1538,市区,16QAM PN945 4/5(0.8),半夏的回忆2020-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,538,水平, ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650, , ,huyemin138 2017-10-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,538,水平, ,中央电视台纪录频道,AVS+,DRA,开锁,513,660, , ,huyemin138 2017-10-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,538,水平, ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670, , ,huyemin138 2017-10-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,538,水平, ,[中国环球电视网新闻频道](http://www.cctv.com),AVS+,DRA,开锁,515,680, , ,huyemin138 2017-10-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,538,水平, ,黄山公共生活,AVS+,DRA,开锁,602,802, , ,huyemin138 2017-10-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,538,水平, ,黄山新闻综合,AVS+,DRA,开锁,601,801, , ,huyemin138 2017-10-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,666,水平, ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650, , ,1302290023 2022-10-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,666,水平, ,中央电视台纪录频道,AVS+,DRA,开锁,513,660, , ,1302290023 2022-10-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,666,水平, ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670, , ,1302290023 2022-10-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,666,水平, ,[中国环球电视网新闻频道](http://www.cctv.com),AVS+,DRA,开锁,515,680, , ,1302290023 2022-10-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,762,水平, ,中央电视台综合频道,AVS+,DRA,开锁,512,650, , ,huyemin138 2017-10-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,762,水平, ,中央电视台财经频道,AVS+,DRA,开锁,513,660, , ,huyemin138 2017-10-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,762,水平, ,[中央电视台中文国际频道](http://www.thmz.com/),AVS+,DRA,开锁,514,670, , ,huyemin138 2017-10-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,762,水平, ,中央电视台科教频道,AVS+,DRA,开锁,515,680, , ,huyemin138 2017-10-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,762,水平, ,中央电视台社会与法频道,AVS+,DRA,开锁,516,690, , ,huyemin138 2017-10-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,762,水平, ,[中央电视台新闻频道](http://www.thmz.com/),AVS+,DRA,开锁,517,700, , ,huyemin138 2017-10-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
