index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474,垂直, ,中央电视台综合频道,MPEG-4,MPEG-1, ,259,258,土默特左旗发射台, ,亢奋青年 2019-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,474,垂直, ,中央电视台经济频道,MPEG-4,MPEG-1, ,263,262,土默特左旗发射台, ,亢奋青年 2019-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,474,垂直, ,中央电视台综艺频道,MPEG-4,MPEG-1, ,267,266,土默特左旗发射台, ,亢奋青年 2019-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,474,垂直, ,中央电视台中文国际频道,MPEG-4,MPEG-1, ,271,270,土默特左旗发射台, ,亢奋青年 2019-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,474,垂直, ,中央电视台体育频道,MPEG-4,MPEG-1, ,519,518,土默特左旗发射台, ,亢奋青年 2019-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,474,垂直, ,中央电视台电影频道,MPEG-4,MPEG-1, ,523,522,土默特左旗发射台, ,亢奋青年 2019-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,474,垂直, ,中央电视台农业农村频道,MPEG-4,MPEG-1, ,527,526,土默特左旗发射台, ,亢奋青年 2019-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,474,垂直, ,中央电视台电视剧频道,MPEG-4,MPEG-1, ,771,770,土默特左旗发射台, ,亢奋青年 2019-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,474,垂直, ,中央电视台新闻频道,MPEG-4,MPEG-1, ,1031,1030,土默特左旗发射台, ,亢奋青年 2019-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,474,垂直, ,中央电视台音乐频道,MPEG-4,MPEG-1, ,1295,1294,土默特左旗发射台, ,亢奋青年 2019-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,522, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,706发射台（料目山）, ,亢奋青年 2022-10-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,522, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,706发射台（料目山）, ,亢奋青年 2022-10-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
