index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,554, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,室韦081台, ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,554, , ,中央电视台经济频道,AVS+,DRA,开锁,513,660,室韦081台, ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,554, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,室韦081台, ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,554, , ,中央电视台科教频道,AVS+,DRA,开锁,515,680,室韦081台, ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,554, , ,中央电视台社会与法频道,AVS+,DRA,开锁,516,690,室韦081台, ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,554, , ,中央电视台新闻频道,AVS+,DRA,开锁,517,700,室韦081台, ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,554, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,室韦081台, ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,554, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,室韦081台, ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,610, , ,中国气象,MPEG2,MPEG2, ,254,354,鄂伦春自治旗, ,18947553241 2017-05-22, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,610, , ,北大荒农业,MPEG2,MPEG2, ,275,375,鄂伦春自治旗, ,18947553241 2017-05-22, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,610, , ,黑龙江都市,MPEG2,MPEG2, ,317,274,鄂伦春自治旗, ,18947553241 2017-05-22, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,610, , ,黑龙江文艺,MPEG2,MPEG2, ,372,272,鄂伦春自治旗, ,18947553241 2017-05-22, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,610, , ,空中课堂,MPEG2,MPEG2, ,259,359,鄂伦春自治旗, ,18947553241 2017-05-22, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,610, , ,中教1,MPEG2,MPEG2, ,258,358,鄂伦春自治旗, ,18947553241 2017-05-22, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,610, , ,中学生,MPEG2,MPEG2, ,273,373,鄂伦春自治旗, ,18947553241 2017-05-22, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,618, , ,cctv8,MPEG2,MPEG2, ,208,308,鄂伦春自治旗, ,18947553241 2017-05-22, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,618, , ,CCTV7,MPEG2,MPEG2, ,207,307,鄂伦春自治旗, ,18947553241 2017-05-22, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,618, , ,大兴安岭,MPEG2,MPEG1, ,223,323,鄂伦春自治旗, ,18947553241 2017-05-22, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
