index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,538, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,桦南县, ,xouwen 2019-03-12, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,538, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,桦南县, ,xouwen 2019-03-12, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,538, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,桦南县, ,xouwen 2019-03-12, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,538, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,桦南县, ,xouwen 2019-03-12, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,538, , ,浙江卫视, , , , , ,桦南县, ,xouwen 2019-03-12, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,538, , ,上海东方卫视, , , , , ,桦南县, ,xouwen 2019-03-12, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,538, , ,江苏卫视, , , , , ,桦南县, ,xouwen 2019-03-12, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,538, , ,桦南综合频道, , , , , ,桦南县, ,xouwen 2019-03-12, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,642, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,桦南县, ,xouwen 2019-03-12, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,642, , ,中央电视台财经频道,AVS+,DRA,开锁,513,660,桦南县, ,xouwen 2019-03-12, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,642, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,桦南县, ,xouwen 2019-03-12, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,642, , ,中央电视台科教频道,AVS+,DRA,开锁,515,680,桦南县, ,xouwen 2019-03-12, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,642, , ,中央电视台社会与法频道,AVS+,DRA,开锁,516,690,桦南县, ,xouwen 2019-03-12, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,642, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,桦南县, ,xouwen 2019-03-12, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,642, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,桦南县, ,xouwen 2019-03-12, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,642, , ,[中央电视台音乐频道](http://www.cctv.com),AVS+,DRA,开锁,519,720,桦南县, ,xouwen 2019-03-12, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,642, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,桦川县, ,刘学文 2022-02-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,642, , ,中央电视台财经频道,AVS+,DRA,开锁,513,660,桦川县, ,刘学文 2022-02-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,642, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,桦川县, ,刘学文 2022-02-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,642, , ,中央电视台科教频道,AVS+,DRA,开锁,515,680,桦川县, ,刘学文 2022-02-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,642, , ,中央电视台社会与法频道,AVS+,DRA,开锁,516,690,桦川县, ,刘学文 2022-02-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,642, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,桦川县, ,刘学文 2022-02-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,642, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,桦川县, ,刘学文 2022-02-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,642, , ,[中央电视台音乐频道](http://www.cctv.com),AVS+,DRA,开锁,519,720,桦川县, ,刘学文 2022-02-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,746, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,桦川县, ,刘学文 2022-02-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,746, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,桦川县, ,刘学文 2022-02-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,746, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,桦川县, ,刘学文 2022-02-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,746, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,桦川县, ,刘学文 2022-02-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,746, , ,桦川综合, , , , , ,桦川县, ,刘学文 2022-02-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,762, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,市区, ,xouwen 2021-11-11, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
30,762, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,市区, ,xouwen 2021-11-11, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
31,762, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,市区, ,xouwen 2021-11-11, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
32,762, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,市区, ,xouwen 2021-11-11, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
33,762, , ,佳木斯公共, , , , , ,市区, ,xouwen 2021-11-11, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
34,762, , ,佳木斯新闻, , , , , ,市区, ,xouwen 2021-11-11, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
