index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,538, , ,江西卫视,AVS+,DRA,开锁,512,650,井冈山,4QAM PN945 3/5(0.6),q1060896983 2023-02-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,538, , ,江西都市,AVS+,DRA,开锁,513,660,井冈山,4QAM PN945 3/5(0.6),q1060896983 2023-02-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,538, , ,江西新闻,AVS+,DRA,开锁,514,670,井冈山,4QAM PN945 3/5(0.6),q1060896983 2023-02-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,546, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,井冈山,16QAM PN945 4/5(0.8),q1060896983 2023-02-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,546, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,井冈山,16QAM PN945 4/5(0.8),q1060896983 2023-02-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,546, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,井冈山,16QAM PN945 4/5(0.8),q1060896983 2023-02-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,546, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,井冈山,16QAM PN945 4/5(0.8),q1060896983 2023-02-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,546, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,井冈山,16QAM PN945 4/5(0.8),q1060896983 2023-02-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,546, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,井冈山,16QAM PN945 4/5(0.8),q1060896983 2023-02-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,546, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,井冈山,16QAM PN945 4/5(0.8),q1060896983 2023-02-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,546, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,井冈山,16QAM PN945 4/5(0.8),q1060896983 2023-02-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,546, ,101,中国之声, ,MPEG-1,开锁, ,730,井冈山,16QAM PN945 4/5(0.8),q1060896983 2023-02-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,546, ,102,经济之声, ,MPEG-1,开锁, ,740,井冈山,16QAM PN945 4/5(0.8),q1060896983 2023-02-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,546, ,103,音乐之声, ,MPEG-1,开锁, ,750,井冈山,16QAM PN945 4/5(0.8),q1060896983 2023-02-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,546, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,井冈山,16QAM PN945 4/5(0.8),q1060896983 2023-02-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,546, ,105,台海之声, ,MPEG-1,开锁, ,770,井冈山,16QAM PN945 4/5(0.8),q1060896983 2023-02-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,546, ,106,神州之声, ,MPEG-1,开锁, ,780,井冈山,16QAM PN945 4/5(0.8),q1060896983 2023-02-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,546, ,108,民族之声, ,MPEG-1,开锁, ,790,井冈山,16QAM PN945 4/5(0.8),q1060896983 2023-02-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,546, ,109,文艺之声, ,MPEG-1,开锁, ,800,井冈山,16QAM PN945 4/5(0.8),q1060896983 2023-02-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
