index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,187, ,1,广东体育,MPEG-2,DRA,开锁,5001,5002,台山市 北峰山 瓶身峰 歪头山,64QAM PN420 3/5(0.6),HKDTMB 2023-01-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,187, ,2,广东珠江,MPEG-2,DRA,开锁,5003,5004,台山市 北峰山 瓶身峰 歪头山,64QAM PN420 3/5(0.6),HKDTMB 2023-01-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,187, ,3,台山台,MPEG-2,DRA,开锁,5005,5006,台山市 北峰山 瓶身峰 歪头山,64QAM PN420 3/5(0.6),HKDTMB 2023-01-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,187, ,4,广东经济科教,MPEG-2,DRA,开锁,5007,5008,台山市 北峰山 瓶身峰 歪头山,64QAM PN420 3/5(0.6),HKDTMB 2023-01-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,187, ,5,江门综合,MPEG-2,DRA,开锁,5009,5010,台山市 北峰山 瓶身峰 歪头山,64QAM PN420 3/5(0.6),HKDTMB 2023-01-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,203, , ,广东体育,MPEG-2,DRA,开锁,5001,5002,开平梁金山, ,新锅仔 2023-01-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,203, , ,广东珠江,MPEG-2,DRA,开锁,5003,5004,开平梁金山, ,新锅仔 2023-01-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,203, , ,开平综合,MPEG-2,DRA,开锁,5005,5006,开平梁金山, ,新锅仔 2023-01-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,203, , ,广东经济科教,MPEG-2,DRA,开锁,5007,5008,开平梁金山, ,新锅仔 2023-01-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,203, , ,江门综合,MPEG-2,DRA,开锁,5009,5010,开平梁金山, ,新锅仔 2023-01-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,498, , ,广东体育,MPEG-2,DRA,开锁,5001,5002,恩平, ,eagla 2021-12-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
