index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474, , ,[孟州综合高清频道](http://www.cctv.com),AVS+,DRA,开锁,1024,1280,孟州,64QAM PN420 3/5(0.6),西地面波2023-01-20,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,602, , ,[中央电视台综合频道](http://www.cctv.com),AVS+, , , , , , ,lpl197 2016-01-19,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,602, , ,[中央电视台财经频道](http://www.cctv.com),AVS+, , , , , , ,lpl197 2016-01-19,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,602, , ,[中央电视台综艺频道](http://www.cctv.com),AVS+, , , , , , ,lpl197 2016-01-19,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,602, , ,中央电视台中文国际频道,AVS+, , , , , , ,lpl197 2016-01-19,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,602, , ,[中央电视台体育频道](http://www.cctv.com),AVS+, , , , , , ,lpl197 2016-01-19,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,602, , ,[中央电视台电影频道](http://www.cctv.com),AVS+, , , , , , ,lpl197 2016-01-19,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,602, , ,[中央电视台军事农业频道](http://www.cctv.com),AVS+, , , , , , ,lpl197 2016-01-19,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,602, , ,[中央电视台电视剧频道](http://www.cctv.com),AVS+, , , , , , ,lpl197 2016-01-19,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,602, , ,中央电视台记录频道,AVS+, , , , , , ,lpl197 2016-01-19,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,602, , ,[中央电视台科教频道](http://www.cctv.com),AVS+, , , , , , ,lpl197 2016-01-19,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,602, , ,[中央电视台戏曲频道](http://www.cctv.com),AVS+, , , , , , ,lpl197 2016-01-19,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,602, , ,[中央电视台社会与法频道](http://www.cctv.com),AVS+, , , , , , ,lpl197 2016-01-19,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,602, , ,中央电视台新闻频道,AVS+, , , , , , ,lpl197 2016-01-19,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,602, , ,中央电视台少儿频道,AVS+, , , , , , ,lpl197 2016-01-19,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
