index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474,水平,14,[海宁新闻综合](http://www.cctv.com),AVS+,DRA,开锁,401,402,海盐,16QAM PN420 3/5(0.6),hzr 2022-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,474,水平,406,嘉兴新闻综合,AVS+,DRA,开锁,513,514,海盐,16QAM PN420 3/5(0.6),hzr 2022-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,474,水平,407,[浙江卫视](http://www.thmz.com/),AVS+,DRA,开锁,769,770,海盐,16QAM PN420 3/5(0.6),hzr 2022-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,474,水平,408,海盐新闻综合,AVS+,DRA,开锁,1025,1026,海盐,16QAM PN420 3/5(0.6),hzr 2022-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,522, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,市区, ,enjoynight 2023-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,522, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,市区, ,enjoynight 2023-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,522, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,市区, ,enjoynight 2023-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,522, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,市区, ,enjoynight 2023-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,522, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,市区, ,enjoynight 2023-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,522, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,市区, ,enjoynight 2023-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,522, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,市区, ,enjoynight 2023-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,522, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,市区, ,enjoynight 2023-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,522, ,101,中国之声, ,MPEG-1,开锁, ,730,市区, ,enjoynight 2023-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,522, ,102,经济之声, ,MPEG-1,开锁, ,740,市区, ,enjoynight 2023-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,522, ,103,音乐之声, ,MPEG-1,开锁, ,750,市区, ,enjoynight 2023-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,522, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,市区, ,enjoynight 2023-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,522, ,105,台海之声, ,MPEG-1,开锁, ,770,市区, ,enjoynight 2023-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,522, ,106,神州之声, ,MPEG-1,开锁, ,780,市区, ,enjoynight 2023-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,522, ,108,民族之声, ,MPEG-1,开锁, ,790,市区, ,enjoynight 2023-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,522, ,109,文艺之声, ,MPEG-1,开锁, ,800,市区, ,enjoynight 2023-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,522, ,110,老年之声, ,MPEG-1,开锁, ,810,市区, ,enjoynight 2023-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,522, ,112,阅读之声, ,MPEG-1,开锁, ,820,市区, ,enjoynight 2023-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,522, ,115,中国交通广播, ,MPEG-1,开锁, ,830,市区, ,enjoynight 2023-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,522, ,116,中国乡村之声, ,MPEG-1,开锁, ,840,市区, ,enjoynight 2023-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,626,水平,401,中央电视台农业农村频道,AVS+,DRA,NDS,512,650,市区, ,超级QQ 2023-07-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,626,水平,402,中央电视台纪录频道,AVS+,DRA,NDS,513,660,市区, ,超级QQ 2023-07-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,626,水平,403,中央电视台戏曲频道,AVS+,DRA,NDS,514,670,市区, ,超级QQ 2023-07-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,626,水平,404,中国环球电视网新闻频道,AVS+,DRA,NDS,515,680,市区, ,超级QQ 2023-07-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,690, ,401,中央电视台农业农村频道,AVS+,DRA,NDS,512,650,桐乡, ,xxj737 2023-05-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,690, ,402,中央电视台纪录频道,AVS+,DRA,NDS,513,660,桐乡, ,xxj737 2023-05-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,690, ,403,中央电视台戏曲频道,AVS+,DRA,NDS,514,670,桐乡, ,xxj737 2023-05-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,690, ,404,中国环球电视网新闻频道,AVS+,DRA,NDS,515,680,桐乡, ,xxj737 2023-05-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
