index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474, , ,永吉综合,MPEG-4,MPEG-2,开锁,33,34,永吉,16QAM PN945 4/5(0.8),开路小爷 2023-09-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,474, , ,【预备频道】,MPEG-4,MPEG-2,开锁,49,59,永吉,16QAM PN945 4/5(0.8),开路小爷 2023-09-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,474, , ,【预备频道】,MPEG-4,MPEG-2,开锁,65,66,永吉,16QAM PN945 4/5(0.8),开路小爷 2023-09-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,474, , ,【预备频道】,MPEG-4,MPEG-2,开锁,81,82,永吉,16QAM PN945 4/5(0.8),开路小爷 2023-09-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,474, , ,【预备频道】,MPEG-4,MPEG-2,开锁,97,98,永吉,16QAM PN945 4/5(0.8),开路小爷 2023-09-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,474, , ,【预备频道】,MPEG-4,MPEG-2,开锁,113,114,永吉,16QAM PN945 4/5(0.8),开路小爷 2023-09-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,474, , ,【预备频道】,MPEG-4,MPEG-2,开锁,129,130,永吉,16QAM PN945 4/5(0.8),开路小爷 2023-09-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,474, , ,【预备频道】,MPEG-4,MPEG-2,开锁,145,146,永吉,16QAM PN945 4/5(0.8),开路小爷 2023-09-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,554,垂直, ,吉视都市,AVS+,DRA,开锁,42,43,市区,16QAM PN945 4/5(0.8),金重豪 2024-01-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,554,垂直, ,吉视生活,AVS+,DRA,开锁,46,47,市区,16QAM PN945 4/5(0.8),金重豪 2024-01-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,554,垂直, ,吉视影视,AVS+,DRA,开锁,54,55,市区,16QAM PN945 4/5(0.8),金重豪 2024-01-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,554,垂直, ,吉视公共新闻,AVS+,DRA,开锁,48,49,市区,16QAM PN945 4/5(0.8),金重豪 2024-01-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,554,垂直, ,吉视综艺文化,AVS+,DRA,开锁,64,65,市区,16QAM PN945 4/5(0.8),金重豪 2024-01-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,562,垂直,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,市区,16QAM PN945 4/5(0.8),金重豪 2024-01-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,562,垂直,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,市区,16QAM PN945 4/5(0.8),金重豪 2024-01-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,562,垂直,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,市区,16QAM PN945 4/5(0.8),金重豪 2024-01-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,562,垂直,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,市区,16QAM PN945 4/5(0.8),金重豪 2024-01-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,562,垂直,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,市区,16QAM PN945 4/5(0.8),金重豪 2024-01-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,562,垂直,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,市区,16QAM PN945 4/5(0.8),金重豪 2024-01-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,562,垂直,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,市区,16QAM PN945 4/5(0.8),金重豪 2024-01-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,562,垂直,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,市区,16QAM PN945 4/5(0.8),金重豪 2024-01-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,562,垂直,101,中国之声, ,MPEG-1,开锁, ,730,市区,16QAM PN945 4/5(0.8),金重豪 2024-01-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,562,垂直,102,经济之声, ,MPEG-1,开锁, ,740,市区,16QAM PN945 4/5(0.8),金重豪 2024-01-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,562,垂直,103,音乐之声, ,MPEG-1,开锁, ,750,市区,16QAM PN945 4/5(0.8),金重豪 2024-01-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,562,垂直,104,经典音乐广播, ,MPEG-1,开锁, ,760,市区,16QAM PN945 4/5(0.8),金重豪 2024-01-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,562,垂直,105,台海之声, ,MPEG-1,开锁, ,770,市区,16QAM PN945 4/5(0.8),金重豪 2024-01-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,562,垂直,106,神州之声, ,MPEG-1,开锁, ,780,市区,16QAM PN945 4/5(0.8),金重豪 2024-01-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,562,垂直,108,民族之声, ,MPEG-1,开锁, ,790,市区,16QAM PN945 4/5(0.8),金重豪 2024-01-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,562,垂直,109,文艺之声, ,MPEG-1,开锁, ,800,市区,16QAM PN945 4/5(0.8),金重豪 2024-01-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,562,垂直,110,老年之声, ,MPEG-1,开锁, ,810,市区,16QAM PN945 4/5(0.8),金重豪 2024-01-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,562,垂直,112,阅读之声, ,MPEG-1,开锁, ,820,市区,16QAM PN945 4/5(0.8),金重豪 2024-01-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,562,垂直,115,中国交通广播, ,MPEG-1,开锁, ,830,市区,16QAM PN945 4/5(0.8),金重豪 2024-01-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,562,垂直,116,中国乡村之声, ,MPEG-1,开锁, ,840,市区,16QAM PN945 4/5(0.8),金重豪 2024-01-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,650,垂直, ,吉林一套（新闻综合）,AVS+,MPEG-1,开锁,1362,1363, ,64QAM PN420 3/5(0.6),开路小爷 2023-07-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,650,垂直, ,吉林二套（公共）,AVS+,MPEG-1,开锁,1372,1373, ,64QAM PN420 3/5(0.6),开路小爷 2023-07-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,650,垂直, ,吉林三套（科教）,AVS+,MPEG-1,开锁,1366,1367, ,64QAM PN420 3/5(0.6),开路小爷 2023-07-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,658,垂直,401,中央电视台农业农村频道,AVS+,DRA,NDS,512,650,市区,4QAM PN595 4/5(0.8),开路小爷 2023-10-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,658,垂直,402,中央电视台纪录频道,AVS+,DRA,NDS,513,660,市区,4QAM PN595 4/5(0.8),开路小爷 2023-10-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
38,658,垂直,403,中央电视台戏曲频道,AVS+,DRA,NDS,514,670,市区,4QAM PN595 4/5(0.8),开路小爷 2023-10-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
39,658,垂直,404,中国环球电视网新闻频道,AVS+,DRA,NDS,515,680,市区,4QAM PN595 4/5(0.8),开路小爷 2023-10-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
40,658,水平,401,中央电视台农业农村频道,AVS+,DRA,NDS,512,650,永吉,4QAM PN595 4/5(0.8),开路小爷 2023-10-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
41,658,水平,402,中央电视台纪录频道,AVS+,DRA,NDS,513,660,永吉,4QAM PN595 4/5(0.8),开路小爷 2023-10-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
42,658,水平,403,中央电视台戏曲频道,AVS+,DRA,NDS,514,670,永吉,4QAM PN595 4/5(0.8),开路小爷 2023-10-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
43,658,水平,404,中国环球电视网新闻频道,AVS+,DRA,NDS,515,680,永吉,4QAM PN595 4/5(0.8),开路小爷 2023-10-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
44,698, , ,舒兰新闻综合,AVS+,DRA,开锁,1442,1443,舒兰, ,Qingniao feiyu 2018-03-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
45,698, , ,吉林新闻综合频道,AVS+,DRA,开锁,1362,1363,舒兰, ,Qingniao feiyu 2018-03-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
46,698, , ,吉林卫视,AVS+,DRA,开锁,37,38,舒兰, ,Qingniao feiyu 2018-03-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
47,698, , ,吉林乡村,AVS+,DRA,开锁,32,33,舒兰, ,Qingniao feiyu 2018-03-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
48,698, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,舒兰, ,Qingniao feiyu 2018-03-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
49,698, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,舒兰, ,Qingniao feiyu 2018-03-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
50,698, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,舒兰, ,Qingniao feiyu 2018-03-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
51,698, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,舒兰, ,Qingniao feiyu 2018-03-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
