index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,490, , ,[中央电视台农业农村频道](http://www.cctv.com),AVS+,DRA,开锁,512,650,莱芜广播电视台, ,亓健 2020-08-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,490, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,莱芜广播电视台, ,亓健 2020-08-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,490, , ,[中央电视台戏曲频道](http://www.cctv.com),AVS+,DRA,开锁,514,670,莱芜广播电视台, ,亓健 2020-08-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,490, , ,[中国环球电视网新闻频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,莱芜广播电视台, ,亓健 2020-08-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,490, , ,山东卫视,AVS+,DRA,开锁,4113,4114,莱芜广播电视台, ,亓健 2020-08-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,490, , ,山东齐鲁,AVS+,DRA,开锁,4129,4130,莱芜广播电视台, ,亓健 2020-08-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,490, , ,山东生活,AVS+,DRA,开锁,4177,4178,莱芜广播电视台, ,亓健 2020-08-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,490, , ,济南鲁中,AVS+,DRA,开锁,529,530,莱芜广播电视台, ,亓健 2020-08-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,506, , ,[中央电视台农业农村频道](http://www.cctv.com),AVS+, , , , ,平阴, ,crazylee 2017-02-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,506, , ,中央电视台纪录频道,AVS+, , , , ,平阴, ,crazylee 2017-02-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
