index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,490, , ,阳城电视台,AVS+,DRA,开锁,518,750,阳城县,64QAM PN420 4/5(0.8),qianying818 2023-07-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,490, , ,山西卫视,AVS+,DRA,开锁,66,67,阳城县,64QAM PN420 4/5(0.8),qianying818 2023-07-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,490, , ,晋城新闻综合,AVS+,DRA,开锁,50,51,阳城县,64QAM PN420 4/5(0.8),qianying818 2023-07-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,490, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,陵川县, ,花漾浮生2018-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,490, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,陵川县, ,花漾浮生2018-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,490, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,陵川县, ,花漾浮生2018-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,490, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,陵川县, ,花漾浮生2018-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,490, , ,山西卫视,AVS+,DRA,开锁, , ,陵川县, ,花漾浮生2018-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,490, , ,晋城新闻综合,AVS+,DRA,开锁,53,54,陵川县, ,花漾浮生2018-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,554, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,陵川县, ,花漾浮生2018-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,554, , ,中央电视台财经频道,AVS+,DRA,开锁,513,660,陵川县, ,花漾浮生2018-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,554, , ,[中央电视台中文国际频道](http://www.thmz.com/),AVS+,DRA,开锁,514,670,陵川县, ,花漾浮生2018-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,554, , ,中央电视台科教频道,AVS+,DRA,开锁,515,680,陵川县, ,花漾浮生2018-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,554, , ,中央电视台社会与法频道,AVS+,DRA,开锁,516,690,陵川县, ,花漾浮生2018-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,554, , ,[中央电视台新闻频道](http://www.thmz.com/),AVS+,DRA,开锁,517,700,陵川县, ,花漾浮生2018-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,554, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,陵川县, ,花漾浮生2018-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,554, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,陵川县, ,花漾浮生2018-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,562, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,泽州伊候山, ,qianying818 2023-07-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,562, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,泽州伊候山, ,qianying818 2023-07-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,562, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,泽州伊候山, ,qianying818 2023-07-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,562, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,泽州伊候山, ,qianying818 2023-07-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,562, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,泽州伊候山, ,qianying818 2023-07-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,562, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,泽州伊候山, ,qianying818 2023-07-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,562, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,泽州伊候山, ,qianying818 2023-07-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,562, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,泽州伊候山, ,qianying818 2023-07-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,562, ,101,中国之声, ,MPEG-1,开锁, ,730,泽州伊候山, ,qianying818 2023-07-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,562, ,102,经济之声, ,MPEG-1,开锁, ,740,泽州伊候山, ,qianying818 2023-07-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,562, ,103,音乐之声, ,MPEG-1,开锁, ,750,泽州伊候山, ,qianying818 2023-07-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,562, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,泽州伊候山, ,qianying818 2023-07-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,562, ,105,台海之声, ,MPEG-1,开锁, ,770,泽州伊候山, ,qianying818 2023-07-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,562, ,106,神州之声, ,MPEG-1,开锁, ,780,泽州伊候山, ,qianying818 2023-07-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,562, ,108,民族之声, ,MPEG-1,开锁, ,790,泽州伊候山, ,qianying818 2023-07-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,562, ,109,文艺之声, ,MPEG-1,开锁, ,800,泽州伊候山, ,qianying818 2023-07-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,562, ,110,老年之声, ,MPEG-1,开锁, ,810,泽州伊候山, ,qianying818 2023-07-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,562, ,112,阅读之声, ,MPEG-1,开锁, ,820,泽州伊候山, ,qianying818 2023-07-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,562, ,115,中国交通广播, ,MPEG-1,开锁, ,830,泽州伊候山, ,qianying818 2023-07-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,562, ,116,中国乡村之声, ,MPEG-1,开锁, ,840,泽州伊候山, ,qianying818 2023-07-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,658, ,401,中央电视台农业农村频道,AVS+,DRA,NDS,512,650,泽州伊候山,4QAM PN595 4/5(0.8),qianying818 2023-07-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
38,658, ,402,中央电视台纪录频道,AVS+,DRA,NDS,513,660,泽州伊候山,4QAM PN595 4/5(0.8),qianying818 2023-07-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
39,658, ,403,中央电视台戏曲频道,AVS+,DRA,NDS,514,670,泽州伊候山,4QAM PN595 4/5(0.8),qianying818 2023-07-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
40,658, ,404,中国环球电视网新闻频道,AVS+,DRA,NDS,515,680,泽州伊候山,4QAM PN595 4/5(0.8),qianying818 2023-07-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
