index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,187, , ,湖北卫视,AVS+,DRA,开锁,513,514,沙洋, ,a162261826 2022-09-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,187, , ,湖北综合,AVS+,DRA,开锁,257,258,沙洋, ,a162261826 2022-09-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,187, , ,湖北经视,AVS+,DRA,开锁,1537,1538,沙洋, ,a162261826 2022-09-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,187, , ,湖北公共新闻,AVS+,DRA,开锁,1281,1282,沙洋, ,a162261826 2022-09-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,187, , ,湖北垄上,AVS+,DRA,开锁,769,770,沙洋, ,a162261826 2022-09-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,187, , ,荆门新闻,AVS+,DRA,开锁,1025,1026,沙洋, ,a162261826 2022-09-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,187, , ,荆门教育,AVS+,DRA,开锁, , ,沙洋, ,a162261826 2022-09-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,187, ,602,沙洋综合,AVS+,MPEG-2,开锁,1540,1541,沙洋, ,a162261826 2022-09-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,211, , ,湖北卫视,AVS+,DRA,开锁,513,514,钟祥,64QAM 3/5(0.6),a162261826 2022-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,211, , ,湖北综合,AVS+,DRA,开锁,257,258,钟祥,64QAM 3/5(0.6),a162261826 2022-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,211, , ,湖北公共新闻,AVS+,DRA,开锁,1281,1282,钟祥,64QAM 3/5(0.6),a162261826 2022-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,211, , ,湖北经视,AVS+,DRA,开锁, , ,钟祥,64QAM 3/5(0.6),a162261826 2022-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,211, , ,湖北垄上,AVS+,DRA,开锁,769,770,钟祥,64QAM 3/5(0.6),a162261826 2022-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,211, , ,荆门新闻综合,AVS+,DRA,开锁,1025,1026,钟祥,64QAM 3/5(0.6),a162261826 2022-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,211, , ,荆门公共,AVS+,DRA,开锁, , ,钟祥,64QAM 3/5(0.6),a162261826 2022-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,211, ,108,钟祥新闻综合,AVS+,DRA,开锁,1537,1538,钟祥,64QAM 3/5(0.6),a162261826 2022-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,219, , ,荆门新闻综合,AVS+,DRA,开锁,513,514,荆门广播电视黑山发射台,16QAM PN420 4/5(0.8),qianying818 2024-02-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,219, , ,荆门科教文旅,AVS+,DRA,开锁,257,258,荆门广播电视黑山发射台,16QAM PN420 4/5(0.8),qianying818 2024-02-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,219, , ,湖北卫视,AVS+,DRA,开锁,1537,1538,荆门广播电视黑山发射台,16QAM PN420 4/5(0.8),qianying818 2024-02-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,219, , ,湖北综合,AVS+,DRA,开锁,1281,1282,荆门广播电视黑山发射台,16QAM PN420 4/5(0.8),qianying818 2024-02-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,219, , ,湖北经视,AVS+,DRA,开锁,769,770,荆门广播电视黑山发射台,16QAM PN420 4/5(0.8),qianying818 2024-02-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,219, , ,湖北垄上,AVS+,DRA,开锁,1025,1026,荆门广播电视黑山发射台,16QAM PN420 4/5(0.8),qianying818 2024-02-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,219, , ,湖北公共新闻,AVS+,DRA,开锁, , ,荆门广播电视黑山发射台,16QAM PN420 4/5(0.8),qianying818 2024-02-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,474,水平, ,[中央电视台农业农村频道](http://www.cctv.com),AVS+,DRA,开锁,512,650,荆门广播电视黑山发射台, ,天门天线迷2018-05-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
24,474,水平, ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,荆门广播电视黑山发射台, ,天门天线迷2018-05-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
25,474,水平, ,[中央电视台纪录频道](http://www.cctv.com),AVS+,DRA,开锁,514,670,荆门广播电视黑山发射台, ,天门天线迷2018-05-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
26,474,水平, ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,荆门广播电视黑山发射台, ,天门天线迷2018-05-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
27,546,水平, ,荆门新闻,AVS+,DRA,开锁,513,514,荆门广播电视黑山发射台, ,天门天线迷2022-09-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,546,水平, ,荆门教育,AVS+,DRA,开锁,257,258,荆门广播电视黑山发射台, ,天门天线迷2022-09-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,546,水平, ,湖北卫视,AVS+,DRA,开锁,260,261,荆门广播电视黑山发射台, ,天门天线迷2022-09-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,546,水平, ,湖北综合,AVS+,DRA,开锁,516,517,荆门广播电视黑山发射台, ,天门天线迷2022-09-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,546,水平, ,湖北经视,AVS+,DRA,开锁,1281,1282,荆门广播电视黑山发射台, ,天门天线迷2022-09-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,546,水平, ,湖北垄上,AVS+,DRA,开锁,1025,1026,荆门广播电视黑山发射台, ,天门天线迷2022-09-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,546, , ,湖北电视台垄上频道,MPEG-2, ,数码视讯,701,702, , ,82600115 2015-07-27,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
34,546, , ,鄂中经视,MPEG-2, ,数码视讯,711,712, , ,82600115 2015-07-27,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
35,546, , ,[中央电视台科教频道](http://www.cctv.com),MPEG-2, ,数码视讯,741,742, , ,82600115 2015-07-27,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
