index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,171, , ,湖北卫视,AVS+,DRA,开锁,257,258,公安, ,a162261826 2022-09-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,171, , ,湖北垄上,AVS+,DRA,开锁,513,514,公安, ,a162261826 2022-09-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,171, , ,湖北经视,AVS+,DRA,开锁,516,517,公安, ,a162261826 2022-09-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,171, , ,湖北综合,AVS+,DRA,开锁,260,261,公安, ,a162261826 2022-09-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,171, , ,荆州综合,AVS+,DRA,开锁, , ,公安, ,a162261826 2022-09-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,171, , ,公安综合,AVS+,DRA,开锁,772,773,公安, ,a162261826 2022-09-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,171, , ,公安生活,AVS+,DRA,开锁,1025,1026,公安, ,a162261826 2022-09-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,179, , ,湖北卫视,AVS+,DRA,开锁,257,258,石首笔架山, ,a162261826 2022-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,179, , ,湖北垄上,AVS+,DRA,开锁,513,514,石首笔架山, ,a162261826 2022-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,179, , ,湖北经视,AVS+,DRA,开锁,516,517,石首笔架山, ,a162261826 2022-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,179, , ,湖北综合,AVS+,DRA,开锁,260,261,石首笔架山, ,a162261826 2022-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,179, , ,石首综合,AVS+,DRA,开锁,772,773,石首笔架山, ,a162261826 2022-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,179, , ,石首影视,AVS+,DRA,开锁,1025,1026,石首笔架山, ,a162261826 2022-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,195, , ,湖北卫视,AVS+,DRA,开锁,257,258,江陵, ,湘岳地面锅 2022-09-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,195, , ,湖北垄上,AVS+,DRA,开锁,513,514,江陵, ,湘岳地面锅 2022-09-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,195, , ,湖北经视,AVS+,DRA,开锁,516,517,江陵, ,湘岳地面锅 2022-09-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,195, , ,湖北综合,AVS+,DRA,开锁,260,261,江陵, ,湘岳地面锅 2022-09-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,195, , ,湖北影视,AVS+,DRA,开锁,769,770,江陵, ,湘岳地面锅 2022-09-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,195, , ,荆州新闻,AVS+,DRA,开锁,772,773,江陵, ,湘岳地面锅 2022-09-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,195, , ,荆州垄上,AVS+,DRA,开锁,1025,1026,江陵, ,湘岳地面锅 2022-09-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,195, , ,江陵综合,AVS+,DRA,开锁,1028,1029,江陵, ,湘岳地面锅 2022-09-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,211, , ,湖北卫视,AVS+,DRA,开锁,1537,1538,松滋, ,浪锅的天下 2023-12-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,211, , ,湖北公共新闻,AVS+,DRA,开锁,513,514,松滋, ,浪锅的天下 2023-12-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,211, , ,湖北经视,AVS+,DRA,开锁,516,517,松滋, ,浪锅的天下 2023-12-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
