index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,498, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,磐安 廿四尖背山, ,peace 2018-10-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,498, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,60,磐安 廿四尖背山, ,peace 2018-10-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,498, , ,[中央电视台戏曲频道](http://www.thmz.com/),AVS+,DRA,开锁,514,50,磐安 廿四尖背山, ,peace 2018-10-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,498, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,磐安 廿四尖背山, ,peace 2018-10-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,498, , ,浙江卫视,AVS+,DRA,开锁, , ,磐安 廿四尖背山, ,peace 2018-10-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,498, , ,金华新闻综合,AVS+,DRA,开锁,501,502,磐安 廿四尖背山, ,peace 2018-10-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,498, , ,磐安新闻综合,AVS+,DRA,开锁,301,302,磐安 廿四尖背山, ,peace 2018-10-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,498, , ,磐安文化生活,AVS+,DRA,开锁,401,402,磐安 廿四尖背山, ,peace 2018-10-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,522,水平,301,中央电视台综合频道,AVS+,DRA,开锁,512,650,东阳, ,寒江鱼 2022-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,522,水平,302,中央电视台财经频道,AVS+,DRA,开锁,513,660,东阳, ,寒江鱼 2022-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,522,水平,303,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,东阳, ,寒江鱼 2022-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,522,水平,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,东阳, ,寒江鱼 2022-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,522,水平,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690,东阳, ,寒江鱼 2022-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,522,水平,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,东阳, ,寒江鱼 2022-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,522,水平,307,中央电视台少儿频道,AVS+,DRA,开锁,518,710,东阳, ,寒江鱼 2022-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,522,水平,308,中央电视台音乐频道,AVS+,DRA,开锁,519,720,东阳, ,寒江鱼 2022-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,522,水平,101,中国之声, ,MPEG-1,开锁, ,730,东阳, ,寒江鱼 2022-09-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,522,水平,102,经济之声, ,MPEG-1,开锁, ,740,东阳, ,寒江鱼 2022-09-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,522,水平,103,音乐之声, ,MPEG-1,开锁, ,750,东阳, ,寒江鱼 2022-09-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,522,水平,104,经典音乐广播, ,MPEG-1,开锁, ,760,东阳, ,寒江鱼 2022-09-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
