index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,171, , ,曲阜综合,AVS+,DRA,开锁, , ,曲阜, ,大雪满锅 2023-12-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,179, , ,嘉祥新闻综合,AVS+,DRA,开锁,34,35,嘉祥, ,西郭郭金秀 2022-02-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,179, , ,嘉祥生活,AVS+,DRA,开锁,50,51,嘉祥, ,西郭郭金秀 2022-02-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,474,垂直, ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA, , , ,金乡, ,LIGUO BING1978 2023-09-04,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,474,垂直, ,中央电视台财经频道,AVS+,DRA, , , ,金乡, ,LIGUO BING1978 2023-09-04,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,474,垂直, ,中央电视台中文国际频道,AVS+,DRA, , , ,金乡, ,LIGUO BING1978 2023-09-04,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,474,垂直, ,[中央电视台科教频道](http://www.thmz.com/),AVS+,DRA, , , ,金乡, ,LIGUO BING1978 2023-09-04,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,474,垂直, ,中央电视台新闻频道,AVS+,DRA, , , ,金乡, ,LIGUO BING1978 2023-09-04,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,474,垂直, ,[中央电视台少儿频道](http://www.thmz.com/),AVS+,DRA, , , ,金乡, ,LIGUO BING1978 2023-09-04,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,474,垂直, ,金乡综合,AVS+,DRA,开锁, , ,金乡, ,LIGUO BING1978 2023-09-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
