index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0, , ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650, , ,Starfish 2023-02-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1, , ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660, , ,Starfish 2023-02-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2, , ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670, , ,Starfish 2023-02-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3, , ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680, , ,Starfish 2023-02-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4, , ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690, , ,Starfish 2023-02-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5, , ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700, , ,Starfish 2023-02-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6, , ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710, , ,Starfish 2023-02-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7, , ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720, , ,Starfish 2023-02-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8, , ,101,中国之声, ,MPEG-1,开锁, ,730, , ,Starfish 2023-02-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9, , ,102,经济之声, ,MPEG-1,开锁, ,740, , ,Starfish 2023-02-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10, , ,103,音乐之声, ,MPEG-1,开锁, ,750, , ,Starfish 2023-02-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11, , ,104,经典音乐广播, ,MPEG-1,开锁, ,760, , ,Starfish 2023-02-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12, , ,105,台海之声, ,MPEG-1,开锁, ,770, , ,Starfish 2023-02-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13, , ,106,神州之声, ,MPEG-1,开锁, ,780, , ,Starfish 2023-02-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14, , ,108,民族之声, ,MPEG-1,开锁, ,790, , ,Starfish 2023-02-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15, , ,109,文艺之声, ,MPEG-1,开锁, ,800, , ,Starfish 2023-02-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16, , ,110,老年之声, ,MPEG-1,开锁, ,810, , ,Starfish 2023-02-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17, , ,112,阅读之声, ,MPEG-1,开锁, ,820, , ,Starfish 2023-02-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18, , ,115,中国交通广播, ,MPEG-1,开锁, ,830, , ,Starfish 2023-02-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
