index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,179, , ,[北镇新闻综合](http://www.cctv.com),AVS+,DRA, , , ,北镇电视台, ,zhentianV5 2022-07-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,203, , ,[黑山综合](http://www.cctv.com),AVS+,DRA, ,256,257,黑山, ,WOSHIHEGE 2021-02-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,474, , ,[凌海综合](http://www.cctv.com),AVS+,DRA, , , ,凌海, ,刘学文 2022-04-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,506, , ,辽宁卫视,AVS+,DRA,开锁, , ,北镇市201台, ,zhentianV5 2020-08-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,506, , ,辽宁都市,AVS+,DRA,开锁, , ,北镇市201台, ,zhentianV5 2020-08-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,506, , ,辽宁影视剧,AVS+,DRA,开锁, , ,北镇市201台, ,zhentianV5 2020-08-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,506, , ,宜佳购物,AVS+,DRA,开锁, , ,北镇市201台, ,zhentianV5 2020-08-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,506, , ,辽宁体育,AVS+,DRA,开锁, , ,北镇市201台, ,zhentianV5 2020-08-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,506, , ,辽宁生活,AVS+,DRA,开锁, , ,北镇市201台, ,zhentianV5 2020-08-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,506, , ,辽宁北方,AVS+,DRA,开锁, , ,北镇市201台, ,zhentianV5 2020-08-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,506, , ,辽宁教育青少频道,AVS+,DRA,开锁, , ,北镇市201台, ,zhentianV5 2020-08-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,514, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650, , ,宏疆 2020-08-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,514, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660, , ,宏疆 2020-08-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,514, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670, , ,宏疆 2020-08-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
