index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,522, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,共青城, ,zwj123123 2019-03-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,522, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,共青城, ,zwj123123 2019-03-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,522, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,共青城, ,zwj123123 2019-03-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,522, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,共青城, ,zwj123123 2019-03-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,522, , ,江西卫视,AVS+,DRA,开锁, , ,共青城, ,zwj123123 2019-03-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,522, , ,九江一套,AVS+,DRA,开锁, , ,共青城, ,zwj123123 2019-03-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,522, , ,共青城一套,AVS+,DRA,开锁, , ,共青城, ,zwj123123 2019-03-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,522, , ,共青城一套,MPEG-2,MPEG-2,开锁, , ,共青城, ,zwj123123 2019-03-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,538, ,201,江西卫视,AVS+,DRA,开锁,512,650,市区 瑞昌,4QAM PN945 3/5(0.6),九江味道 2023-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,538, ,202,江西都市,AVS+,DRA,开锁,513,660,市区 瑞昌,4QAM PN945 3/5(0.6),九江味道 2023-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,538, ,203,江西新闻,AVS+,DRA,开锁,514,670,市区 瑞昌,4QAM PN945 3/5(0.6),九江味道 2023-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,546, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,庐山701发射台,16QAM PN945 4/5(0.8),胡迟 2023-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,546, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,庐山701发射台,16QAM PN945 4/5(0.8),胡迟 2023-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,546, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,庐山701发射台,16QAM PN945 4/5(0.8),胡迟 2023-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,546, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,庐山701发射台,16QAM PN945 4/5(0.8),胡迟 2023-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,546, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,庐山701发射台,16QAM PN945 4/5(0.8),胡迟 2023-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,546, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,庐山701发射台,16QAM PN945 4/5(0.8),胡迟 2023-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,546, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,庐山701发射台,16QAM PN945 4/5(0.8),胡迟 2023-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,546, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,庐山701发射台,16QAM PN945 4/5(0.8),胡迟 2023-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,546, ,101,中国之声, ,MPEG-1,开锁, ,730,庐山701发射台,16QAM PN945 4/5(0.8),胡迟 2023-01-14,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,546, ,102,经济之声, ,MPEG-1,开锁, ,740,庐山701发射台,16QAM PN945 4/5(0.8),胡迟 2023-01-14,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,546, ,103,音乐之声, ,MPEG-1,开锁, ,750,庐山701发射台,16QAM PN945 4/5(0.8),胡迟 2023-01-14,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,546, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,庐山701发射台,16QAM PN945 4/5(0.8),胡迟 2023-01-14,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,546, ,105,台海之声, ,MPEG-1,开锁, ,770,庐山701发射台,16QAM PN945 4/5(0.8),胡迟 2023-01-14,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,546, ,106,神州之声, ,MPEG-1,开锁, ,780,庐山701发射台,16QAM PN945 4/5(0.8),胡迟 2023-01-14,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,546, ,108,民族之声, ,MPEG-1,开锁, ,790,庐山701发射台,16QAM PN945 4/5(0.8),胡迟 2023-01-14,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,546, ,109,文艺之声, ,MPEG-1,开锁, ,800,庐山701发射台,16QAM PN945 4/5(0.8),胡迟 2023-01-14,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,546, ,110,老年之声, ,MPEG-1,开锁, ,810,庐山701发射台,16QAM PN945 4/5(0.8),胡迟 2023-01-14,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,546, ,112,阅读之声, ,MPEG-1,开锁, ,820,庐山701发射台,16QAM PN945 4/5(0.8),胡迟 2023-01-14,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,546, ,115,中国交通广播, ,MPEG-1,开锁, ,830,庐山701发射台,16QAM PN945 4/5(0.8),胡迟 2023-01-14,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,546, ,116,中国乡村之声, ,MPEG-1,开锁, ,840,庐山701发射台,16QAM PN945 4/5(0.8),胡迟 2023-01-14,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,546, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,九江, ,胡迟 2022-09-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
32,546, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,九江, ,胡迟 2022-09-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
33,546, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,九江, ,胡迟 2022-09-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
34,546, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,九江, ,胡迟 2022-09-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
35,546, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,九江, ,胡迟 2022-09-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
36,546, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,九江, ,胡迟 2022-09-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
37,546, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,九江, ,胡迟 2022-09-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
38,546, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,九江, ,胡迟 2022-09-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
39,546, ,101,中国之声, ,MPEG-1,开锁, ,730,九江, ,胡迟 2022-09-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
40,546, ,102,经济之声, ,MPEG-1,开锁, ,740,九江, ,胡迟 2022-09-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
41,546, ,103,音乐之声, ,MPEG-1,开锁, ,750,九江, ,胡迟 2022-09-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
42,546, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,九江, ,胡迟 2022-09-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
43,546, ,105,台海之声, ,MPEG-1,开锁, ,770,九江, ,胡迟 2022-09-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
44,546, ,106,神州之声, ,MPEG-1,开锁, ,780,九江, ,胡迟 2022-09-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
45,546, ,108,民族之声, ,MPEG-1,开锁, ,790,九江, ,胡迟 2022-09-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
46,546, ,109,文艺之声, ,MPEG-1,开锁, ,800,九江, ,胡迟 2022-09-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
47,546, ,110,老年之声, ,MPEG-1,开锁, ,810,九江, ,胡迟 2022-09-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
48,546, ,112,阅读之声, ,MPEG-1,开锁, ,820,九江, ,胡迟 2022-09-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
49,546, ,115,中国交通广播, ,MPEG-1,开锁, ,830,九江, ,胡迟 2022-09-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
50,546, ,116,中国乡村之声, ,MPEG-1,开锁, ,840,九江, ,胡迟 2022-09-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
51,618,垂直, ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,庐山701发射台,4QAM PN595 4/5(0.8),胡迟 2023-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
52,618,垂直, ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,庐山701发射台,4QAM PN595 4/5(0.8),胡迟 2023-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
53,618,垂直, ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,庐山701发射台,4QAM PN595 4/5(0.8),胡迟 2023-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
