index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,690, , ,中央电视台农业农村频道,AVS+,DRA,开锁, , ,玉门, ,刘学文 2022-01-15, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,690, , ,中央电视台纪录频道,AVS+,DRA,开锁, , ,玉门, ,刘学文 2022-01-15, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,690, , ,[中央电视台戏曲频道](http://www.thmz.com/),AVS+,DRA,开锁, , ,玉门, ,刘学文 2022-01-15, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,690, , ,中国环球电视网新闻频道,AVS+,DRA,开锁, , ,玉门, ,刘学文 2022-01-15, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,690, , ,甘肃公共,AVS+,DRA,开锁, , ,玉门, ,刘学文 2022-01-15, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,690, , ,酒泉综合,AVS+,DRA,开锁, , ,玉门, ,刘学文 2022-01-15, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,690, , ,玉门综合,AVS+,DRA,开锁, , ,玉门, ,刘学文 2022-01-15, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,778, , ,[中央电视台综合频道](http://www.cctv.com),AVS+,DRA,开锁,512,650, , ,新乡原阳 2020-08-25, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,778, , ,[中央电视台财经频道](http://www.cctv.com),AVS+,DRA,开锁,513,660, , ,新乡原阳 2020-08-25, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,778, , ,[中央电视台中文国际频道](http://www.cctv.com),AVS+,DRA,开锁,514,670, , ,新乡原阳 2020-08-25, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,778, , ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680, , ,新乡原阳 2020-08-25, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,778, , ,中央电视台社会与法频道,AVS+,DRA,开锁,516,690, , ,新乡原阳 2020-08-25, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,778, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700, , ,新乡原阳 2020-08-25, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,778, , ,[中央电视台少儿频道](http://www.cctv.com),AVS+,DRA,开锁,518,710, , ,新乡原阳 2020-08-25, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,778, , ,[中央电视台音乐频道](http://www.cctv.com),AVS+,DRA,开锁,519,720, , ,新乡原阳 2020-08-25, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
