index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,538, , ,中央电视台军事农业频道,AVS+,DRA,开锁, , ,鸡东, ,李杨百胜 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,538, , ,中央电视台纪录频道,AVS+,DRA,开锁, , ,鸡东, ,李杨百胜 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,538, , ,中央电视台戏曲频道,AVS+,DRA,开锁, , ,鸡东, ,李杨百胜 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,538, , ,中国环球电视网新闻频道,AVS+,DRA,开锁, , ,鸡东, ,李杨百胜 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,538, , ,鸡西新闻,AVS+,DRA,开锁, , ,鸡东, ,李杨百胜 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,538, , ,鸡西公共,AVS+,DRA,开锁, , ,鸡东, ,李杨百胜 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,546, , ,中央电视台纪录频道,AVS+,DRA,开锁, , ,鸡东, ,李杨百胜 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,546, , ,中央电视台经济频道,AVS+,DRA,开锁, , ,鸡东, ,李杨百胜 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,546, , ,中央电视台中文国际频道,AVS+,DRA,开锁, , ,鸡东, ,李杨百胜 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,546, , ,中央电视台军事农业频道,AVS+,DRA,开锁, , ,鸡东, ,李杨百胜 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,546, , ,中央电视台科教频道,AVS+,DRA,开锁, , ,鸡东, ,李杨百胜 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,546, , ,[中央电视台戏曲频道](http://www.thmz.com/),AVS+,DRA,开锁, , ,鸡东, ,李杨百胜 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,546, , ,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA,开锁, , ,鸡东, ,李杨百胜 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,546, , ,中央电视台少儿频道,AVS+,DRA,开锁, , ,鸡东, ,李杨百胜 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,546, , ,中央电视台音乐频道,AVS+,DRA,开锁, , ,鸡东, ,李杨百胜 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,666, , ,黑龙江少儿,AVS+,DRA,开锁, , ,鸡东, ,李杨百胜 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,666, , ,黑龙江公共农业,AVS+,DRA,开锁, , ,鸡东, ,李杨百胜 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,666, , ,黑龙江新闻法制,AVS+,DRA,开锁, , ,鸡东, ,李杨百胜 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,666, , ,黑龙江卫视,AVS+,DRA,开锁, , ,鸡东, ,李杨百胜 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
