index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,554, , ,[中央电视台体育频道](http://www.cctv.com),AVS+,DRA,开锁, , , , ,qianying818 2023-04-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,554, , ,[河南电视剧频道](http://www.cctv.com),AVS+,DRA,开锁, , , , ,qianying818 2023-04-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,554, , ,[济源台](http://www.cctv.com),AVS+,DRA,开锁, , , , ,qianying818 2023-04-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,554, , ,靓装,AVS+,DRA,开锁, , , , ,qianying818 2023-04-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,554, , ,济源广播,AVS+,DRA,开锁, , , , ,qianying818 2023-04-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,690, , ,济源广播,AVS+,DRA, , , , , ,qianying818 2023-04-19,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,690, , ,[卡酷少儿](http://www.cctv.com),AVS+,DRA, , , , , ,qianying818 2023-04-19,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,690, , ,[江西卫视](http://www.cctv.com),AVS+,DRA, , , , , ,qianying818 2023-04-19,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,690, , ,四川卫视,AVS+,DRA, , , , , ,qianying818 2023-04-19,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,690, , ,北京卫视,AVS+,DRA, , , , , ,qianying818 2023-04-19,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,690, , ,【预备频道】,AVS+,DRA, , , , , ,qianying818 2023-04-19,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,690, , ,百姓调解,AVS+,DRA, , , , , ,qianying818 2023-04-19,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,690, , ,移动戏曲,AVS+,DRA, , , , , ,qianying818 2023-04-19,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,690, , ,梨园,AVS+,DRA, , , , , ,qianying818 2023-04-19,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,690, , ,中央电视台农业农村频道,AVS+,DRA, , , , , ,qianying818 2023-04-19,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
