index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,195,水平, ,祥符电视台,MPEG-4,MPEG-1,开锁,2304,2305,祥符电视塔,64QAM PN420 3/5(0.6),qianying818 2022-10-27,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,195,水平, ,祥符二台（CCTV1）,MPEG-4,MPEG-1,开锁,105,106,祥符电视塔,64QAM PN420 3/5(0.6),qianying818 2022-10-27,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,514, , ,河南民生,MPEG-2,MPEG-1, ,884,885,明珠塔, ,qianying818 2022-10-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,514, , ,河南都市,MPEG-2,MPEG-1, ,881,882,明珠塔, ,qianying818 2022-10-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,514, , ,河南公共,MPEG-2,MPEG-1, ,871,872,明珠塔, ,qianying818 2022-10-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,514, , ,河南乡村,MPEG-2,MPEG-1, ,861,862,明珠塔, ,qianying818 2022-10-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,514, , ,河南电视剧,MPEG-2,MPEG-1, ,851,852,明珠塔, ,qianying818 2022-10-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,514, , ,金鹰卡通,MPEG-2,MPEG-1, ,841,842,明珠塔, ,qianying818 2022-10-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,514, , ,宁夏卫视,MPEG-2,MPEG-1, ,831,832,明珠塔, ,qianying818 2022-10-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,514, , ,广西卫视,MPEG-2,MPEG-1, ,821,822,明珠塔, ,qianying818 2022-10-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,514, , ,江西卫视,MPEG-2,MPEG-1, ,811,812,明珠塔, ,qianying818 2022-10-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,522, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,明珠塔,16QAM PN420 3/5(0.6),刘学文 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,522, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,明珠塔,16QAM PN420 3/5(0.6),刘学文 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,522, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,明珠塔,16QAM PN420 3/5(0.6),刘学文 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,522, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,明珠塔,16QAM PN420 3/5(0.6),刘学文 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,522, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,明珠塔,16QAM PN420 3/5(0.6),刘学文 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,522, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,明珠塔,16QAM PN420 3/5(0.6),刘学文 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,522, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,明珠塔,16QAM PN420 3/5(0.6),刘学文 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,522, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,明珠塔,16QAM PN420 3/5(0.6),刘学文 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,522, ,101,中国之声, ,MPEG-1,开锁, ,730,明珠塔,16QAM PN420 3/5(0.6),刘学文 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,522, ,102,经济之声, ,MPEG-1,开锁, ,740,明珠塔,16QAM PN420 3/5(0.6),刘学文 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,522, ,103,音乐之声, ,MPEG-1,开锁, ,750,明珠塔,16QAM PN420 3/5(0.6),刘学文 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,522, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,明珠塔,16QAM PN420 3/5(0.6),刘学文 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,522, ,105,台海之声, ,MPEG-1,开锁, ,770,明珠塔,16QAM PN420 3/5(0.6),刘学文 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,522, ,106,神州之声, ,MPEG-1,开锁, ,780,明珠塔,16QAM PN420 3/5(0.6),刘学文 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,522, ,108,民族之声, ,MPEG-1,开锁, ,790,明珠塔,16QAM PN420 3/5(0.6),刘学文 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,522, ,109,文艺之声, ,MPEG-1,开锁, ,800,明珠塔,16QAM PN420 3/5(0.6),刘学文 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,522, ,110,老年之声, ,MPEG-1,开锁, ,810,明珠塔,16QAM PN420 3/5(0.6),刘学文 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,522, ,112,阅读之声, ,MPEG-1,开锁, ,820,明珠塔,16QAM PN420 3/5(0.6),刘学文 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,522, ,115,中国交通广播, ,MPEG-1,开锁, ,830,明珠塔,16QAM PN420 3/5(0.6),刘学文 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,522, ,116,中国乡村之声, ,MPEG-1,开锁, ,840,明珠塔,16QAM PN420 3/5(0.6),刘学文 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,530, , ,黑龙江卫视,MPEG-2,MPEG-1, ,684,685,明珠塔, ,qianying818 2022-10-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,530, , ,吉林卫视,MPEG-2,MPEG-1, ,681,682,明珠塔, ,qianying818 2022-10-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,530, , ,河南卫视,MPEG-2,MPEG-1,开锁,671,672,明珠塔, ,qianying818 2022-10-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,530, , ,优漫卡通,MPEG-2,MPEG-1, ,661,662,明珠塔, ,qianying818 2022-10-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,530, , ,福建东南卫视,MPEG-2,MPEG-1, ,651,652,明珠塔, ,qianying818 2022-10-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,530, , ,金鹰卡通,MPEG-2,MPEG-1, ,641,642,明珠塔, ,qianying818 2022-10-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,530, , ,宁夏卫视,MPEG-2,MPEG-1, ,631,632,明珠塔, ,qianying818 2022-10-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
38,530, , ,广西卫视,MPEG-2,MPEG-1, ,621,822,明珠塔, ,qianying818 2022-10-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
39,530, , ,江西卫视,MPEG-2,MPEG-1, ,611,612,明珠塔, ,qianying818 2022-10-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
40,538, , ,山东卫视, , ,锁码, , , , ,不离不弃2019-12-17,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
41,538, , ,浙江卫视, , ,锁码, , , , ,不离不弃2019-12-17,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
42,538, , ,天津卫视, , ,锁码, , , , ,不离不弃2019-12-17,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
43,538, , ,湖南卫视, , ,锁码, , , , ,不离不弃2019-12-17,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
44,538, , ,辽宁卫视, , ,锁码, , , , ,不离不弃2019-12-17,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
45,538, , ,凤凰卫视中文台, , ,锁码, , , , ,不离不弃2019-12-17,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
46,538, , ,梨园, , ,锁码, , , , ,不离不弃2019-12-17,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
47,538, , ,靓装, , ,锁码, , , , ,不离不弃2019-12-17,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
48,538, , ,广东卫视, , ,锁码, , , , ,不离不弃2019-12-17,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
49,538, , ,金鹰卡通, , ,锁码, , , , ,不离不弃2019-12-17,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
50,538, , ,卫生健康, , ,开锁, , , , ,不离不弃2019-12-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
51,538, , ,电视指南, , ,开锁, , , , ,不离不弃2019-12-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
52,538, , ,央视文化精品, , ,开锁, , , , ,不离不弃2019-12-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
53,538, , ,汽摩, , ,开锁, , , , ,不离不弃2019-12-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
54,546, , ,嘉佳卡通,AVS+,DRA,开锁,4111,4112,通许,64QAM PN420 4/5(0.8),qianying818 2023-02-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
55,546, , ,金鹰卡通,AVS+,DRA,开锁,4101,4102,通许,64QAM PN420 4/5(0.8),qianying818 2023-02-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
56,546, , ,优漫卡通,AVS+,DRA,开锁,4091,4092,通许,64QAM PN420 4/5(0.8),qianying818 2023-02-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
