index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474, , ,中央电视台综合频道,开锁,MPEG-2, ,1092,1093,莎车县, ,新疆008电器 2017-07-14, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,474, , ,维吾尔语影视,开锁,MPEG-2, ,1102,1103,莎车县, ,新疆008电器 2017-07-14, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,474, , ,维吾尔语综艺,开锁,MPEG-2, ,1112,1113,莎车县, ,新疆008电器 2017-07-14, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,474, , ,XJTV-1,开锁,MPEG-2, ,1122,1123,莎车县, ,新疆008电器 2017-07-14, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,474, , ,XJTV-2,开锁,MPEG-2, ,1132,1133,莎车县, ,新疆008电器 2017-07-14, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,474, , ,XJTV-5,开锁,MPEG-2, ,1142,1143,莎车县, ,新疆008电器 2017-07-14, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,474, , ,XJTV-9,开锁,MPEG-2, ,1152,1153,莎车县, ,新疆008电器 2017-07-14, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,474, , ,教育在线,开锁,MPEG-2, ,1162,1163,莎车县, ,新疆008电器 2017-07-14, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,522, , ,莎车一套,开锁,MPEG-2, ,1201,1202,莎车县, ,新疆008电器 2017-07-14, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,522, , ,莎车二套,开锁,MPEG-2, ,1301,1302,莎车县, ,新疆008电器 2017-07-14, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,522, , ,莎车三套,开锁,MPEG-2, ,1401,1402,莎车县, ,新疆008电器 2017-07-14, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,522, , ,莎车四套,开锁,MPEG-2, ,1501,1502,莎车县, ,新疆008电器 2017-07-14, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,522, , ,喀什一台,开锁,MPEG-2, ,161,162,莎车县, ,新疆008电器 2017-07-14, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,522, , ,喀什二台,开锁,MPEG-2, ,1071,1072,莎车县, ,新疆008电器 2017-07-14, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,522, , ,天山剧场,开锁,MPEG-2, ,1081,1082,莎车县, ,新疆008电器 2017-07-14, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,522, , ,乌鲁木齐2台,开锁,MPEG-2, ,191,192,莎车县, ,新疆008电器 2017-07-14, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,666, , ,[【中央电视台军事农业频道 黑屏】](http://www.cctv.com),开锁, , , , , , ,中文卫视2016-12-09, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
