index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,187, , ,云南卫视,AVS+,DRA,开锁, , ,安宁市, ,广济之烨熠2023-07-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,187, , ,云南都市,AVS+,DRA,开锁, , ,安宁市, ,广济之烨熠2023-07-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,187, , ,云南娱乐,AVS+,DRA,开锁, , ,安宁市, ,广济之烨熠2023-07-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,187, , ,云南康旅,AVS+,DRA,开锁, , ,安宁市, ,广济之烨熠2023-07-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,187, , ,昆明新闻综合,AVS+,DRA,开锁, , ,安宁市, ,广济之烨熠2023-07-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,187, , ,昆明春城民生,AVS+,DRA,开锁, , ,安宁市, ,广济之烨熠2023-07-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,187, , ,安宁综合,AVS+,DRA,开锁, , ,安宁市, ,广济之烨熠2023-07-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,187, , ,昆明教育,AVS+,DRA,开锁, , ,安宁市, ,广济之烨熠2023-07-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,187, , ,云南音乐广播, , , , , ,安宁市, ,广济之烨熠2023-07-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,187, , ,云南交通广播, , , , , ,安宁市, ,广济之烨熠2023-07-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,187, , ,云南新闻广播, , , , , ,安宁市, ,广济之烨熠2023-07-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,187, , ,云南旅游广播, , , , , ,安宁市, ,广济之烨熠2023-07-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,187, , ,昆明综合广播, , , , , ,安宁市, ,广济之烨熠2023-07-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,187, , ,昆明文艺旅游广播, , , , , ,安宁市, ,广济之烨熠2023-07-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,187, , ,昆明汽车音乐广播, , , , , ,安宁市, ,广济之烨熠2023-07-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,187, , ,昆明老年广播, , , , , ,安宁市, ,广济之烨熠2023-07-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,474, , ,云南卫视,AVS+,DRA,开锁, , ,禄劝彝族苗族自治县, ,crazylee 2023-11-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,474, , ,云南都市,AVS+,DRA,开锁, , ,禄劝彝族苗族自治县, ,crazylee 2023-11-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,474, , ,云南娱乐,AVS+,DRA,开锁, , ,禄劝彝族苗族自治县, ,crazylee 2023-11-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,474, , ,云南康旅,AVS+,DRA,开锁, , ,禄劝彝族苗族自治县, ,crazylee 2023-11-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,474, , ,昆明新闻综合,AVS+,DRA,开锁, , ,禄劝彝族苗族自治县, ,crazylee 2023-11-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,474, , ,昆明春城民生,AVS+,DRA,开锁, , ,禄劝彝族苗族自治县, ,crazylee 2023-11-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,474, , ,禄劝电视台,AVS+,DRA,开锁, , ,禄劝彝族苗族自治县, ,crazylee 2023-11-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,474, , ,昆明教育,AVS+,DRA,开锁, , ,禄劝彝族苗族自治县, ,crazylee 2023-11-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,474, , ,云南音乐广播, , , , , ,禄劝彝族苗族自治县, ,crazylee 2023-11-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,474, , ,云南交通广播, , , , , ,禄劝彝族苗族自治县, ,crazylee 2023-11-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,474, , ,云南新闻广播, , , , , ,禄劝彝族苗族自治县, ,crazylee 2023-11-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,474, , ,云南旅游广播, , , , , ,禄劝彝族苗族自治县, ,crazylee 2023-11-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,474, , ,昆明综合广播, , , , , ,禄劝彝族苗族自治县, ,crazylee 2023-11-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,474, , ,昆明文艺旅游广播, , , , , ,禄劝彝族苗族自治县, ,crazylee 2023-11-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,474, , ,昆明汽车音乐广播, , , , , ,禄劝彝族苗族自治县, ,crazylee 2023-11-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,474, , ,昆明老年广播, , , , , ,禄劝彝族苗族自治县, ,crazylee 2023-11-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,474, , ,中央电视台音乐频道,AVS, ,BJST,60,59, , ,王麻子 2015-03-31,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
33,474, , ,中央电视台记录频道,AVS, ,BJST,57,56, , ,王麻子 2015-03-31,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
34,474, , ,河南卫视,AVS, ,BJST,54,53, , ,王麻子 2015-03-31,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
35,474, , ,[山东卫视](http://www.cctv.com),AVS, ,BJST,51,50, , ,王麻子 2015-03-31,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
36,474, , ,[昆明五套](http://www.cctv.com),AVS, ,BJST,48,47, , ,王麻子 2015-03-31,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
37,474, , ,[金鹰卡通频道](http://www.cctv.com),AVS, ,BJST,45,44, , ,王麻子 2015-03-31,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
38,474, , ,[浙江卫视](http://www.cctv.com),AVS, ,BJST,42,41, , ,王麻子 2015-03-31,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
39,474, , ,[江西卫视](http://www.cctv.com),AVS, ,BJST,39,38, , ,王麻子 2015-03-31,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
40,474, , ,湖北卫视,AVS, ,BJST,36,35, , ,王麻子 2015-03-31,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
41,474, , ,天津卫视,AVS, ,开锁,33,32, , ,王麻子 2015-03-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
42,490, , ,云南卫视,AVS+,DRA,开锁, , ,晋宁区, ,413112784 2023-07-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
43,490, , ,云南都市,AVS+,DRA,开锁, , ,晋宁区, ,413112784 2023-07-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
44,490, , ,云南娱乐,AVS+,DRA,开锁, , ,晋宁区, ,413112784 2023-07-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
45,490, , ,云南康旅,AVS+,DRA,开锁, , ,晋宁区, ,413112784 2023-07-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
46,490, , ,昆明新闻综合,AVS+,DRA,开锁, , ,晋宁区, ,413112784 2023-07-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
47,490, , ,昆明春城民生,AVS+,DRA,开锁, , ,晋宁区, ,413112784 2023-07-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
48,490, , ,晋宁电视台,AVS+,DRA,开锁, , ,晋宁区, ,413112784 2023-07-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
49,490, , ,昆明教育,AVS+,DRA,开锁, , ,晋宁区, ,413112784 2023-07-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
50,490, , ,云南音乐广播, , , , , ,晋宁区, ,413112784 2023-07-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
51,490, , ,云南交通广播, , , , , ,晋宁区, ,413112784 2023-07-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
52,490, , ,云南新闻广播, , , , , ,晋宁区, ,413112784 2023-07-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
53,490, , ,云南旅游广播, , , , , ,晋宁区, ,413112784 2023-07-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
54,490, , ,昆明综合广播, , , , , ,晋宁区, ,413112784 2023-07-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
55,490, , ,昆明文艺旅游广播, , , , , ,晋宁区, ,413112784 2023-07-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
56,490, , ,昆明汽车音乐广播, , , , , ,晋宁区, ,413112784 2023-07-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
57,490, , ,昆明老年广播, , , , , ,晋宁区, ,413112784 2023-07-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
58,490, , ,七彩公交,MPEG-2, ,开锁,45,46, , ,王麻子 2015-03-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
59,490, , ,云南卫视,MPEG-2, ,开锁,42,41, , ,王麻子 2015-03-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
60,490, , ,云南二套,MPEG-2, ,BJST,48,47, , ,王麻子 2015-03-31,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
