index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,219, , ,广西卫视,AVS+,DRA,开锁, , ,象州, ,天使的神话 2023-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,219, , ,广西综艺,AVS+,DRA,开锁, , ,象州, ,天使的神话 2023-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,219, , ,来宾综合,AVS+,DRA,开锁, , ,象州, ,天使的神话 2023-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,219, , ,象州电视台,AVS+,DRA,开锁, , ,象州, ,天使的神话 2023-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,490, , ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,忻城, ,火锅 2017-05-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,490, , ,中央电视台经济频道,AVS+,DRA,开锁,513,660,忻城, ,火锅 2017-05-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,490, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,忻城, ,火锅 2017-05-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,490, , ,中央电视台科教频道,AVS+,DRA,开锁,515,680,忻城, ,火锅 2017-05-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,490, , ,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA,开锁,516,690,忻城, ,火锅 2017-05-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,490, , ,中央电视台新闻频道,AVS+,DRA,开锁,517,700,忻城, ,火锅 2017-05-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,490, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,忻城, ,火锅 2017-05-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,490, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,忻城, ,火锅 2017-05-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12, , , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,忻城, ,525锅 2020-03-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13, , , ,中央电视台记录频道,AVS+,DRA,开锁,513,660,忻城, ,525锅 2020-03-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14, , , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,忻城, ,525锅 2020-03-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15, , , ,中国环球新闻网新闻频道,AVS+,DRA,开锁,515,680,忻城, ,525锅 2020-03-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16, , , ,广西卫视,AVS+,DRA,开锁, , ,忻城, ,525锅 2020-03-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17, , , ,广西综艺,AVS+,DRA,开锁, , ,忻城, ,525锅 2020-03-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18, , , ,来宾综合,AVS+,DRA,开锁, , ,忻城, ,525锅 2020-03-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19, , , ,忻城综合,AVS+,DRA,开锁, , ,忻城, ,525锅 2020-03-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,634, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,合山, ,大白鲨 2021-07-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,634, , ,中央电视台记录频道,AVS+,DRA,开锁,513,660,合山, ,大白鲨 2021-07-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,634, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,合山, ,大白鲨 2021-07-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,634, , ,中国环球新闻网新闻频道,AVS+,DRA,开锁,515,680,合山, ,大白鲨 2021-07-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,634, , ,广西卫视,AVS+,DRA,开锁, , ,合山, ,大白鲨 2021-07-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,634, , ,广西综艺旅游,AVS+,DRA,开锁, , ,合山, ,大白鲨 2021-07-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,634, , ,来宾综合,AVS+,DRA,开锁, , ,合山, ,大白鲨 2021-07-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,634, , ,【和合山台】,AVS+,DRA,开锁, , ,合山, ,大白鲨 2021-07-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,666, , ,广西卫视,AVS+,DRA,开锁, , ,来宾来宾广播电视台楼顶发射塔, ,天使的神话 2023-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,666, , ,广西综艺,AVS+,DRA,开锁, , ,来宾来宾广播电视台楼顶发射塔, ,天使的神话 2023-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,666, , ,来宾综合,AVS+,DRA,开锁, , ,来宾来宾广播电视台楼顶发射塔, ,天使的神话 2023-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,674, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,来宾来宾广播电视台楼顶发射塔, ,天使的神话 2023-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,674, , ,中央电视台记录频道,AVS+,DRA,开锁,513,660,来宾来宾广播电视台楼顶发射塔, ,天使的神话 2023-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,674, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,来宾来宾广播电视台楼顶发射塔, ,天使的神话 2023-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,674, , ,中国环球新闻网新闻频道,AVS+,DRA,开锁,515,680,来宾来宾广播电视台楼顶发射塔, ,天使的神话 2023-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
