index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,498,垂直, ,廊坊导视,AVS+,MPEG-1,开锁,1025,1026, , ,TVASIA 2017-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,498,垂直, ,廊坊公共,AVS+,MPEG-1,开锁,769,770, , ,TVASIA 2017-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,498,垂直, ,廊坊新闻,AVS+,MPEG-1,开锁,1537,1538, , ,TVASIA 2017-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,498,垂直, ,河北卫视,AVS+,DRA,开锁,51,52, , ,TVASIA 2017-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,498,垂直, ,河北经济,AVS+,DRA,开锁,54,55, , ,TVASIA 2017-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,498,垂直, ,河北农民,AVS+,DRA,开锁,69,70, , ,TVASIA 2017-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,498,垂直, ,河北影视,AVS+,MPEG-1,开锁,57,58, , ,TVASIA 2017-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,498,垂直, ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650, , ,TVASIA 2017-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,498,垂直, ,中央电视台记录频道,AVS+,DRA,开锁,513,660, , ,TVASIA 2017-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,498,垂直, ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670, , ,TVASIA 2017-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
