index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474, , ,[中央电视台综合频道](http://www.thmz.com/), , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,474, , ,中央电视台经济频道, , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,474, , ,中央电视台综艺频道, , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,474, , ,中央电视台中文国际频道, , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,474, , ,[中央电视台体育频道](http://www.thmz.com/), , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,474, , ,中央电视台电影频道, , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,474, , ,欧美影院, , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,474, , ,魅力音乐, , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,482, , ,中央电视台农业农村频道, , ,开锁, , ,永登, ,地面高清机顶盒2017-11-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,482, , ,[中央电视台电视剧频道](http://www.thmz.com/), , ,开锁, , ,永登, ,地面高清机顶盒2017-11-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,482, , ,[中央电视台纪录频道](http://www.thmz.com/), , ,开锁, , ,永登, ,地面高清机顶盒2017-11-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,482, , ,[中央电视台科教频道](http://www.thmz.com/), , ,开锁, , ,永登, ,地面高清机顶盒2017-11-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,482, , ,中央电视台戏曲频道, , ,开锁, , ,永登, ,地面高清机顶盒2017-11-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,482, , ,[中央电视台社会与法频道](http://www.thmz.com/), , ,开锁, , ,永登, ,地面高清机顶盒2017-11-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,490, , ,中央电视台新闻频道, , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,490, , ,[中央电视台少儿频道](http://www.thmz.com/), , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,490, , ,中央电视台音乐频道, , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,490, , ,陕西农林卫视, , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,490, , ,甘肃卫视, , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,490, , ,江西卫视, , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,490, , ,安徽卫视, , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,490, , ,甘肃移动,MPEG-2,MPEG-2,开锁,58,59,市区, ,nanzt 2024-01-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,498, , ,兰州综艺体育, , ,开锁, , ,永登, ,临洮寻星爱好者0 2018-07-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
23,498, , ,兰州新闻综合, , ,开锁, , ,永登, ,临洮寻星爱好者0 2018-07-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
24,498, , ,兰州文旅, , ,开锁, , ,永登, ,临洮寻星爱好者0 2018-07-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
25,498, , ,甘肃文化影视, , ,开锁, , ,永登, ,临洮寻星爱好者0 2018-07-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
26,498, , ,甘肃都市, , ,开锁, , ,永登, ,临洮寻星爱好者0 2018-07-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
27,498, , ,永登新闻综合, , ,开锁, , ,永登, ,临洮寻星爱好者0 2018-07-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
28,498, , ,CHC动作电影, , ,开锁, , ,永登, ,临洮寻星爱好者0 2018-07-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
29,514, , ,江苏卫视, , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
30,514, , ,广西卫视, , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
31,514, , ,贵州卫视, , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
32,514, , ,山东卫视, , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
33,514, , ,北京卫视, , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
34,514, , ,天津卫视, , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
35,514, , ,河北卫视, , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
36,522, , ,陕西卫视, , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
37,522, , ,情感剧场, , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
38,522, , ,河南卫视, , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
39,522, , ,CCTV电视指南, , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
40,522, , ,中国教育电视1台, , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
41,522, , ,浙江卫视, , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
42,522, , ,欢乐剧场, , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
43,530, , ,湖南卫视, , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
44,530, , ,金鹰卡通, , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
45,530, , ,黑龙江卫视, , , , , ,永登, ,永登电视台1232018-11-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
