index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,211, , , , , , , , ,四川省广播电视局605台（乐山犍为县罗城铁山） 300W,16QAM PN420 4/5(0.8),司空曌 2023-07-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,211, , , , , , , , ,四川省广播电视局605台（乐山犍为县罗城铁山） 300W,16QAM PN420 4/5(0.8),司空曌 2023-07-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,211, , , , , , , , ,四川省广播电视局605台（乐山犍为县罗城铁山） 300W,16QAM PN420 4/5(0.8),司空曌 2023-07-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,498, , ,乐山新闻综合,MPEG-4,MPEG-1,开锁,4373,4374, , ,星得锅 2017-03-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,498, , ,乐山公共新农村,MPEG-4,MPEG-1,开锁,4375,4376, , ,星得锅 2017-03-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,498, , ,[中央电视台综合频道](http://www.cctv.com),MPEG-4,MPEG-1,开锁, , , , ,星得锅 2017-03-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,498, , ,中央电视台经济频道,MPEG-4,MPEG-1,开锁, , , , ,星得锅 2017-03-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,498, , ,中央电视台综艺频道,MPEG-4,MPEG-1,开锁, , , , ,星得锅 2017-03-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,498, , ,中央电视台中文国际频道,MPEG-4,MPEG-1,开锁, , , , ,星得锅 2017-03-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,498, , ,中央电视台体育频道,MPEG-4,MPEG-1,开锁, , , , ,星得锅 2017-03-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
