index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474,水平, ,[中央电视台农业农村频道](http://www.cctv.com),AVS+,DRA,开锁,512,650,东辽, ,东方2006 2017-03-18, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,474,水平, ,[中央电视台纪录频道](http://www.cctv.com),AVS+,DRA,开锁,513,660,东辽, ,东方2006 2017-03-18, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,474,水平, ,[中央电视台戏曲频道](http://www.cctv.com),AVS+,DRA,开锁,514,670,东辽, ,东方2006 2017-03-18, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,474,水平, ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,东辽, ,东方2006 2017-03-18, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,474,水平, ,吉林卫视,AVS+,DRA,开锁,37,38,东辽, ,东方2006 2017-03-18, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,474,水平, ,吉视乡村,AVS+,DRA,开锁,32,33,东辽, ,东方2006 2017-03-18, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,474,水平, ,辽源新闻,AVS+,DRA,开锁,1502,1503,东辽, ,东方2006 2017-03-18, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,474,水平, ,东辽电视台,AVS+,DRA,开锁,1542,1543,东辽, ,东方2006 2017-03-18, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,642,水平, ,[中央电视台农业农村频道](http://www.cctv.com),AVS+,DRA,开锁,512,650, , ,东方2006 2018-09-10, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,642,水平, ,[中央电视台纪录频道](http://www.cctv.com),AVS+,DRA,开锁,513,660, , ,东方2006 2018-09-10, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,642,水平, ,[中央电视台戏曲频道](http://www.cctv.com),AVS+,DRA,开锁,514,670, , ,东方2006 2018-09-10, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,642,水平, ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680, , ,东方2006 2018-09-10, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,642,水平, ,吉林卫视,AVS+,DRA,开锁,37,38, , ,东方2006 2018-09-10, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,642,水平, ,吉视乡村,AVS+,DRA,开锁,32,33, , ,东方2006 2018-09-10, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,642,水平, ,辽源公共,AVS+,DRA,开锁,1512,1513, , ,东方2006 2018-09-10, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,642,水平, ,辽源新闻,AVS+,DRA,开锁,1502,1503, , ,东方2006 2018-09-10, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,754,水平, ,吉林都市,AVS+,DRA,开锁,42,43, , ,东方2006 2016-11-09, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,754,水平, ,吉林生活,AVS+,DRA,开锁,46,47, , ,东方2006 2016-11-09, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,754,水平, ,吉林影视,AVS+,DRA,开锁,54,55, , ,东方2006 2016-11-09, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,754,水平, ,吉林公共 新闻,AVS+,DRA,开锁,48,49, , ,东方2006 2016-11-09, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,754,水平, ,吉林综艺文化,AVS+,DRA,开锁,64,65, , ,东方2006 2016-11-09, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,770,水平, ,中央电视台综合频道,AVS+,DRA,开锁,512,650, , ,东方2006 2016-11-11, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,770,水平, ,中央电视台财经频道,AVS+,DRA,开锁,513,660, , ,东方2006 2016-11-11, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
23,770,水平, ,[中央电视台中文国际频道](http://www.thmz.com/),AVS+,DRA,开锁,514,670, , ,东方2006 2016-11-11, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
24,770,水平, ,中央电视台科教频道,AVS+,DRA,开锁,515,680, , ,东方2006 2016-11-11, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
25,770,水平, ,中央电视台社会与法频道,AVS+,DRA,开锁,516,690, , ,东方2006 2016-11-11, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
26,770,水平, ,[中央电视台新闻频道](http://www.thmz.com/),AVS+,DRA,开锁,517,700, , ,东方2006 2016-11-11, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
27,770,水平, ,中央电视台少儿频道,AVS+,DRA,开锁,518,710, , ,东方2006 2016-11-11, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
28,770,水平, ,中央电视台音乐频道,AVS+,DRA,开锁,519,720, , ,东方2006 2016-11-11, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
