index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,203, , ,云南卫视,AVS+,DRA, , , ,宁蒗, ,发烧友 2022-07-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,203, , ,丽江电视台,AVS+,DRA, , , ,宁蒗, ,发烧友 2022-07-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,203, , , ,AVS+,DRA, , , ,宁蒗, ,发烧友 2022-07-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,203, , , ,AVS+,DRA, , , ,宁蒗, ,发烧友 2022-07-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,203, , , ,AVS+,DRA, , , ,宁蒗, ,发烧友 2022-07-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,203, , , ,AVS+,DRA, , , ,宁蒗, ,发烧友 2022-07-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,203, , ,宁蒗电视台,AVS+,DRA, , , ,宁蒗, ,发烧友 2022-07-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,203, , ,广播, ,MPEG-1,开锁, , ,宁蒗, ,发烧友 2022-07-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,203, , ,广播, ,MPEG-1,开锁, , ,宁蒗, ,发烧友 2022-07-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,203, , ,广播, ,MPEG-1,开锁, , ,宁蒗, ,发烧友 2022-07-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,203, , ,广播, ,MPEG-1,开锁, , ,宁蒗, ,发烧友 2022-07-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,474, , ,云南卫视,AVS+,DRA, , , ,华坪, ,发烧友 2022-07-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,474, , ,丽江电视台,AVS+,DRA, , , ,华坪, ,发烧友 2022-07-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,474, , , ,AVS+,DRA, , , ,华坪, ,发烧友 2022-07-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,474, , , ,AVS+,DRA, , , ,华坪, ,发烧友 2022-07-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,474, , , ,AVS+,DRA, , , ,华坪, ,发烧友 2022-07-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,474, , , ,AVS+,DRA, , , ,华坪, ,发烧友 2022-07-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,474, , ,华坪电视台,AVS+,DRA, , , ,华坪, ,发烧友 2022-07-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,474, , ,广播, ,MPEG-1,开锁, , ,华坪, ,发烧友 2022-07-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,474, , ,广播, ,MPEG-1,开锁, , ,华坪, ,发烧友 2022-07-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,474, , ,广播, ,MPEG-1,开锁, , ,华坪, ,发烧友 2022-07-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,474, , ,广播, ,MPEG-1,开锁, , ,华坪, ,发烧友 2022-07-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,490, , ,云南卫视,AVS+,DRA, , , ,玉龙, ,发烧友 2022-07-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,490, , ,丽江电视台,AVS+,DRA, , , ,玉龙, ,发烧友 2022-07-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,490, , , ,AVS+,DRA, , , ,玉龙, ,发烧友 2022-07-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,490, , , ,AVS+,DRA, , , ,玉龙, ,发烧友 2022-07-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,490, , , ,AVS+,DRA, , , ,玉龙, ,发烧友 2022-07-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,490, , , ,AVS+,DRA, , , ,玉龙, ,发烧友 2022-07-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,490, , ,玉龙电视台,AVS+,DRA, , , ,玉龙, ,发烧友 2022-07-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,490, , ,广播, ,MPEG-1,开锁, , ,玉龙, ,发烧友 2022-07-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,490, , ,广播, ,MPEG-1,开锁, , ,玉龙, ,发烧友 2022-07-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,490, , ,广播, ,MPEG-1,开锁, , ,玉龙, ,发烧友 2022-07-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,490, , ,广播, ,MPEG-1,开锁, , ,玉龙, ,发烧友 2022-07-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,498, , ,云南卫视,AVS+,DRA, , , ,永胜, ,发烧友 2022-07-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,498, , ,丽江电视台,AVS+,DRA, , , ,永胜, ,发烧友 2022-07-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,498, , , ,AVS+,DRA, , , ,永胜, ,发烧友 2022-07-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,498, , , ,AVS+,DRA, , , ,永胜, ,发烧友 2022-07-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,498, , , ,AVS+,DRA, , , ,永胜, ,发烧友 2022-07-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
38,498, , , ,AVS+,DRA, , , ,永胜, ,发烧友 2022-07-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
39,498, , ,永胜电视台,AVS+,DRA, , , ,永胜, ,发烧友 2022-07-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
40,498, , ,广播, ,MPEG-1,开锁, , ,永胜, ,发烧友 2022-07-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
41,498, , ,广播, ,MPEG-1,开锁, , ,永胜, ,发烧友 2022-07-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
42,498, , ,广播, ,MPEG-1,开锁, , ,永胜, ,发烧友 2022-07-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
43,498, , ,广播, ,MPEG-1,开锁, , ,永胜, ,发烧友 2022-07-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
