index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,187, , ,山西卫视,AVS+,DRA,开锁, , ,霍州, ,荔园一哥2023-02-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,187, , ,临汾综合,AVS+,DRA,开锁, , ,霍州, ,荔园一哥2023-02-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,187, , ,霍州综合,AVS+,DRA,开锁, , ,霍州, ,荔园一哥2023-02-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,195, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,古县, ,元氏老宋2023-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,195, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,古县, ,元氏老宋2023-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,195, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,古县, ,元氏老宋2023-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,195, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,古县, ,元氏老宋2023-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,195, , ,山西卫视,AVS+,DRA,开锁, , ,古县, ,元氏老宋2023-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,195, , ,临汾一套,AVS+,DRA,开锁, , ,古县, ,元氏老宋2023-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,195, , ,临汾一套,AVS+,DRA,开锁, , ,古县, ,元氏老宋2023-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,195, , ,古县台,AVS+,DRA,开锁, , ,古县, ,元氏老宋2023-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,203, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,浮山, ,元氏老宋2023-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,203, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,浮山, ,元氏老宋2023-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,203, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,浮山, ,元氏老宋2023-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,203, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,浮山, ,元氏老宋2023-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,203, , ,山西卫视,AVS+,DRA,开锁, , ,浮山, ,元氏老宋2023-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,203, , ,临汾一套,AVS+,DRA,开锁, , ,浮山, ,元氏老宋2023-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,203, , ,浮山台,AVS+,DRA,开锁, , ,浮山, ,元氏老宋2023-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
