index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474, , ,海南综合,AVS+,MPEG-2,开锁, , , , ,zzmm6699 2017-11-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,474, , ,海南新闻,AVS+,MPEG-2,开锁, , , , ,zzmm6699 2017-11-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,474, , ,海南旅游,AVS+,MPEG-2,开锁, , , , ,zzmm6699 2017-11-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,618, , ,临高电视台,AVS+,MPEG-1,开锁,512,650, , ,yangfade 2019-03-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,618, , ,旅游卫视,AVS+,MPEG-1,开锁,517,700, , ,yangfade 2019-03-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,618, , ,海南新闻,AVS+,MPEG-1,开锁,618,710, , ,yangfade 2019-03-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,618, , ,海南综合,AVS+,MPEG-1,开锁,513,660, , ,yangfade 2019-03-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,618, , ,三沙卫视,AVS+,MPEG-1,开锁,519,720, , ,yangfade 2019-03-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,618, , ,中央电视台戏曲频道,AVS+,MPEG-1,开锁,514,670, , ,yangfade 2019-03-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,634, ,201,临高电视台（中央电视台综合频道）,AVS+,MPEG-1,开锁,512,650, , ,zhang zhuzi2022 2023-09-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,634, ,202,海南自贸,AVS+,MPEG-1,开锁,513,660, , ,zhang zhuzi2022 2023-09-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,634, ,206,海南卫视,AVS+,MPEG-1,开锁,517,700, , ,zhang zhuzi2022 2023-09-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,634, ,207,海南新闻,AVS+,MPEG-1,开锁,518,710, , ,zhang zhuzi2022 2023-09-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,634, ,208,三沙卫视,AVS+,MPEG-1,开锁,519,720, , ,zhang zhuzi2022 2023-09-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,650, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650, , ,yangfade 2019-03-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,650, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660, , ,yangfade 2019-03-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,650, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670, , ,yangfade 2019-03-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,650, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680, , ,yangfade 2019-03-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
