index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,211,水平,513,平邑新闻,AVS+,DRA,开锁,38,39,平邑,64QAM 3/5(0.6),renchongyily 2023-03-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,211,水平,514,平邑生活,AVS+,DRA,开锁,41,42,平邑,64QAM 3/5(0.6),renchongyily 2023-03-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,211,水平,1025,临沂综合,AVS+,DRA,开锁,3435, ,平邑,64QAM 3/5(0.6),renchongyily 2023-03-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,211,水平,1538,山东文旅,AVS+,DRA,开锁,45,62,平邑,64QAM 3/5(0.6),renchongyily 2023-03-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,211,水平,1539,山东体育,AVS+,DRA,开锁,64,65,平邑,64QAM 3/5(0.6),renchongyily 2023-03-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,211,水平,1540,山东综艺,AVS+,DRA,开锁,67,68,平邑,64QAM 3/5(0.6),renchongyily 2023-03-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,474, ,100,费县综合,AVS+,MPEG-1,开锁,160,170,费县,64QAM 3/5(0.6),renchongyily 2023-12-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,482,垂直, ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,郯城, ,七里郭 2016-12-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,482,垂直, ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,郯城, ,七里郭 2016-12-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,482,垂直, ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,郯城, ,七里郭 2016-12-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,482,垂直, ,[中国环球电视网新闻频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,郯城, ,七里郭 2016-12-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,482,垂直, ,山东卫视,AVS+,DRA,开锁,4113,4114,郯城, ,七里郭 2016-12-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,482,垂直, ,山东齐鲁,AVS+,DRA,开锁,4129,4130,郯城, ,七里郭 2016-12-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,482,垂直, ,临沂综合,AVS+,DRA,开锁,5905,5906,郯城, ,七里郭 2016-12-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,482,垂直, ,郯城综合,AVS+,DRA,开锁,6001,6002,郯城, ,七里郭 2016-12-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,482,垂直, ,山东交通广播, ,MPEG-1,开锁, ,2641,郯城, ,七里郭 2016-12-05,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,482,垂直, ,山东乡村广播, ,MPEG-1,开锁, ,2657,郯城, ,七里郭 2016-12-05,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,482,垂直, ,山东音乐广播, ,MPEG-1,开锁, ,2673,郯城, ,七里郭 2016-12-05,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,482,垂直, ,山东体育广播, ,MPEG-1,开锁, ,2689,郯城, ,七里郭 2016-12-05,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,482,垂直, ,中国之声, ,MPEG-1,开锁, ,2705,郯城, ,七里郭 2016-12-05,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,490, , ,山东卫视,AVS+,DRA,开锁, , ,沂水,64QAM PN420 3/5(0.6),starworld 2023-08-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,490, , ,沂水生活,AVS+,DRA,开锁, , ,沂水,64QAM PN420 3/5(0.6),starworld 2023-08-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,490, , ,沂水生活,AVS+,DRA,开锁,53,54,沂水,64QAM PN420 3/5(0.6),starworld 2023-08-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,490, , ,山东省应急广播, , ,开锁, , ,沂水,64QAM PN420 3/5(0.6),starworld 2023-08-09,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,490, , ,音频通道1, , ,开锁, , ,沂水,64QAM PN420 3/5(0.6),starworld 2023-08-09,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,490, , ,音频通道2, , ,开锁, , ,沂水,64QAM PN420 3/5(0.6),starworld 2023-08-09,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,498,垂直, ,中央电视台综合频道,AVS+,DRA,开锁,512,650,蒙阴, ,山东蒙阴 2020-03-02目前有信号无节目,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
27,498,垂直, ,中央电视台经济频道,AVS+,DRA,开锁,513,660,蒙阴, ,山东蒙阴 2020-03-02目前有信号无节目,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
28,498,垂直, ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,蒙阴, ,山东蒙阴 2020-03-02目前有信号无节目,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
29,498,垂直, ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,蒙阴, ,山东蒙阴 2020-03-02目前有信号无节目,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
30,498,垂直, ,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690,蒙阴, ,山东蒙阴 2020-03-02目前有信号无节目,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
31,498,垂直, ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,蒙阴, ,山东蒙阴 2020-03-02目前有信号无节目,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
32,498,垂直, ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,蒙阴, ,山东蒙阴 2020-03-02目前有信号无节目,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
33,498,垂直, ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,蒙阴, ,山东蒙阴 2020-03-02目前有信号无节目,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
34,498,垂直, ,导视,AVS+,DRA,开锁,4097,4098,蒙阴, ,山东蒙阴 2020-03-02目前有信号无节目,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
35,498,垂直, ,山东人民广播, ,MPEG-1,开锁, ,2577,蒙阴, ,山东蒙阴 2020-03-02目前有信号无节目,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
36,498,垂直, ,山东经济广播, ,MPEG-1,开锁, ,2593,蒙阴, ,山东蒙阴 2020-03-02目前有信号无节目,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
37,498,垂直, ,山东文艺广播, ,MPEG-1,开锁, ,2625,蒙阴, ,山东蒙阴 2020-03-02目前有信号无节目,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
38,498,垂直, ,山东生活广播, ,MPEG-1,开锁, ,2609,蒙阴, ,山东蒙阴 2020-03-02目前有信号无节目,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
39,498,垂直, ,中央电视台综合频道,AVS+,DRA,开锁,512,650,郯城, ,youmzhang 2016-10-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
40,498,垂直, ,中央电视台经济频道,AVS+,DRA,开锁,513,660,郯城, ,youmzhang 2016-10-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
41,498,垂直, ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,郯城, ,youmzhang 2016-10-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
42,498,垂直, ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,郯城, ,youmzhang 2016-10-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
43,498,垂直, ,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690,郯城, ,youmzhang 2016-10-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
44,498,垂直, ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,郯城, ,youmzhang 2016-10-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
45,498,垂直, ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,郯城, ,youmzhang 2016-10-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
46,498,垂直, ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,郯城, ,youmzhang 2016-10-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
47,498,垂直, ,导视,AVS+,DRA,开锁,4097,4098,郯城, ,youmzhang 2016-10-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
48,498,垂直, ,山东人民广播, ,MPEG-1,开锁, ,2577,郯城, ,youmzhang 2016-10-28,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
49,498,垂直, ,山东经济广播, ,MPEG-1,开锁, ,2593,郯城, ,youmzhang 2016-10-28,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
50,498,垂直, ,山东文艺广播, ,MPEG-1,开锁, ,2625,郯城, ,youmzhang 2016-10-28,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
51,498,垂直, ,山东生活广播, ,MPEG-1,开锁, ,2609,郯城, ,youmzhang 2016-10-28,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
52,498,垂直, ,中央电视台综合频道,AVS+,DRA,开锁,512,650,沂南, ,youmzhang 2016-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
53,498,垂直, ,中央电视台经济频道,AVS+,DRA,开锁,513,660,沂南, ,youmzhang 2016-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
54,498,垂直, ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,沂南, ,youmzhang 2016-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
55,498,垂直, ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,沂南, ,youmzhang 2016-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
56,498,垂直, ,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690,沂南, ,youmzhang 2016-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
57,498,垂直, ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,沂南, ,youmzhang 2016-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
58,498,垂直, ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,沂南, ,youmzhang 2016-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
59,498,垂直, ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,沂南, ,youmzhang 2016-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
60,498,垂直, ,导视,AVS+,DRA,开锁,4097,4098,沂南, ,youmzhang 2016-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
61,498,垂直, ,山东人民广播, ,MPEG-1,开锁, ,2577,沂南, ,youmzhang 2016-12-12,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
62,498,垂直, ,山东经济广播, ,MPEG-1,开锁, ,2593,沂南, ,youmzhang 2016-12-12,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
63,498,垂直, ,山东文艺广播, ,MPEG-1,开锁, ,2625,沂南, ,youmzhang 2016-12-12,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
64,498,垂直, ,山东生活广播, ,MPEG-1,开锁, ,2609,沂南, ,youmzhang 2016-12-12,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
65,498,垂直, ,中央电视台综合频道,AVS+,DRA,开锁,512,650,沂水, ,山谷里的风 2017-04-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
66,498,垂直, ,中央电视台经济频道,AVS+,DRA,开锁,513,660,沂水, ,山谷里的风 2017-04-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
67,498,垂直, ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,沂水, ,山谷里的风 2017-04-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
68,498,垂直, ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,沂水, ,山谷里的风 2017-04-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
69,498,垂直, ,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690,沂水, ,山谷里的风 2017-04-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
70,498,垂直, ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,沂水, ,山谷里的风 2017-04-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
71,498,垂直, ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,沂水, ,山谷里的风 2017-04-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
72,498,垂直, ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,沂水, ,山谷里的风 2017-04-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
73,498,垂直, ,导视,AVS+,DRA,开锁,4097,4098,沂水, ,山谷里的风 2017-04-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
74,498,垂直, ,山东人民广播, ,MPEG-1,开锁, ,2577,沂水, ,山谷里的风 2017-04-21,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
75,498,垂直, ,山东经济广播, ,MPEG-1,开锁, ,2593,沂水, ,山谷里的风 2017-04-21,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
76,498,垂直, ,山东文艺广播, ,MPEG-1,开锁, ,2625,沂水, ,山谷里的风 2017-04-21,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
77,498,垂直, ,山东生活广播, ,MPEG-1,开锁, ,2609,沂水, ,山谷里的风 2017-04-21,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
78,506,垂直, ,中央电视台综合频道,AVS+,DRA,开锁,512,650,平邑蒙山 省广播电视局蒙山转播台,16QAM PN945 4/5(0.8),qianying818 2023-09-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
79,506,垂直, ,中央电视台经济频道,AVS+,DRA,开锁,513,660,平邑蒙山 省广播电视局蒙山转播台,16QAM PN945 4/5(0.8),qianying818 2023-09-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
80,506,垂直, ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,平邑蒙山 省广播电视局蒙山转播台,16QAM PN945 4/5(0.8),qianying818 2023-09-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
81,506,垂直, ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,平邑蒙山 省广播电视局蒙山转播台,16QAM PN945 4/5(0.8),qianying818 2023-09-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
82,506,垂直, ,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690,平邑蒙山 省广播电视局蒙山转播台,16QAM PN945 4/5(0.8),qianying818 2023-09-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
83,506,垂直, ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,平邑蒙山 省广播电视局蒙山转播台,16QAM PN945 4/5(0.8),qianying818 2023-09-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
84,506,垂直, ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,平邑蒙山 省广播电视局蒙山转播台,16QAM PN945 4/5(0.8),qianying818 2023-09-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
85,506,垂直, ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,平邑蒙山 省广播电视局蒙山转播台,16QAM PN945 4/5(0.8),qianying818 2023-09-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
86,506,垂直,300,导视,AVS+,DRA,开锁,4097,4098,平邑蒙山 省广播电视局蒙山转播台,16QAM PN945 4/5(0.8),qianying818 2023-09-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
87,506,垂直, ,山东人民广播, ,MPEG-1,开锁, ,2577,平邑蒙山 省广播电视局蒙山转播台,16QAM PN945 4/5(0.8),qianying818 2023-09-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
88,506,垂直, ,山东经济广播, ,MPEG-1,开锁, ,2593,平邑蒙山 省广播电视局蒙山转播台,16QAM PN945 4/5(0.8),qianying818 2023-09-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
89,506,垂直, ,山东文化广播, ,MPEG-1,开锁, ,2625,平邑蒙山 省广播电视局蒙山转播台,16QAM PN945 4/5(0.8),qianying818 2023-09-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
90,506,垂直, ,山东生活广播, ,MPEG-1,开锁, ,2609,平邑蒙山 省广播电视局蒙山转播台,16QAM PN945 4/5(0.8),qianying818 2023-09-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
91,506,垂直, ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,临沐县, ,大表哥 2017-01-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
92,506,垂直, ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,临沐县, ,大表哥 2017-01-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
