index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,514, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650, , ,寒江鱼 2016-08-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,514, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660, , ,寒江鱼 2016-08-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,514, , ,[中央电视台戏曲频道](http://www.thmz.com/),AVS+,DRA,开锁,514,670, , ,寒江鱼 2016-08-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,514, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680, , ,寒江鱼 2016-08-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,514, , ,浙江卫视,AVS+,DRA,开锁,301,302, , ,寒江鱼 2016-08-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,514, , ,丽水公共,AVS+,DRA,开锁,401,402, , ,寒江鱼 2016-08-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,514, , ,丽水新闻综合,AVS+,DRA,开锁,501,502, , ,寒江鱼 2016-08-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,522, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,庆元, ,南山顶 2022-08-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,522, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,庆元, ,南山顶 2022-08-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,522, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,庆元, ,南山顶 2022-08-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,522, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,庆元, ,南山顶 2022-08-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,522, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,庆元, ,南山顶 2022-08-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,522, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,庆元, ,南山顶 2022-08-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,522, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,庆元, ,南山顶 2022-08-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,522, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,庆元, ,南山顶 2022-08-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
