index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,498, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,盘县, ,卫星卫士 2018-04-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,498, , ,中央电视台经济频道,AVS+,DRA,开锁,513,660,盘县, ,卫星卫士 2018-04-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,498, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,盘县, ,卫星卫士 2018-04-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,498, , ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,盘县, ,卫星卫士 2018-04-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,498, , ,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690,盘县, ,卫星卫士 2018-04-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,498, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,盘县, ,卫星卫士 2018-04-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,498, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,盘县, ,卫星卫士 2018-04-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,498, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,盘县, ,卫星卫士 2018-04-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,506, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,钟山区, ,413112784 2023-01-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,506, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,钟山区, ,413112784 2023-01-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,506, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,钟山区, ,413112784 2023-01-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,506, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,钟山区, ,413112784 2023-01-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,506, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,钟山区, ,413112784 2023-01-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,506, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,钟山区, ,413112784 2023-01-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,506, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,钟山区, ,413112784 2023-01-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,506, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,钟山区, ,413112784 2023-01-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,506, ,101,中国之声, ,MPEG-1,开锁, ,730,钟山区, ,413112784 2023-01-31,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,506, ,102,经济之声, ,MPEG-1,开锁, ,740,钟山区, ,413112784 2023-01-31,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,506, ,103,音乐之声, ,MPEG-1,开锁, ,750,钟山区, ,413112784 2023-01-31,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,506, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,钟山区, ,413112784 2023-01-31,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,506, ,105,台海之声, ,MPEG-1,开锁, ,770,钟山区, ,413112784 2023-01-31,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,506, ,106,神州之声, ,MPEG-1,开锁, ,780,钟山区, ,413112784 2023-01-31,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,506, ,108,民族之声, ,MPEG-1,开锁, ,790,钟山区, ,413112784 2023-01-31,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,506, ,109,文艺之声, ,MPEG-1,开锁, ,800,钟山区, ,413112784 2023-01-31,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,506, ,110,老年之声, ,MPEG-1,开锁, ,810,钟山区, ,413112784 2023-01-31,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,506, ,112,阅读之声, ,MPEG-1,开锁, ,820,钟山区, ,413112784 2023-01-31,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,506, ,115,中国交通广播, ,MPEG-1,开锁, ,830,钟山区, ,413112784 2023-01-31,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,506, ,116,中国乡村之声, ,MPEG-1,开锁, ,840,钟山区, ,413112784 2023-01-31,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,546, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,盘县, ,卫星卫士 2018-04-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
29,546, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,盘县, ,卫星卫士 2018-04-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
30,546, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,盘县, ,卫星卫士 2018-04-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
31,546, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,盘县, ,卫星卫士 2018-04-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
32,546, , ,贵州卫视,AVS+,DRA,开锁,516,690,盘县, ,卫星卫士 2018-04-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
33,546, , ,贵州三套,AVS+,DRA,开锁,517,700,盘县, ,卫星卫士 2018-04-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
34,546, , ,六盘水1,AVS+,DRA,开锁,518,710,盘县, ,卫星卫士 2018-04-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
35,546, , ,盘县电视台,AVS+,DRA,开锁,519,720,盘县, ,卫星卫士 2018-04-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
36,674, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,钟山区, ,413112784 2023-01-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,674, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,钟山区, ,413112784 2023-01-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
38,674, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,钟山区, ,413112784 2023-01-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
39,674, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,钟山区, ,413112784 2023-01-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
40,674, , ,六盘水一套,AVS+,DRA,开锁, , ,钟山区, ,413112784 2023-01-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
41,674, , ,六盘水二套,AVS+,DRA,开锁, , ,钟山区, ,413112784 2023-01-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
42,674, , ,六盘水三套,AVS+,DRA,开锁, , ,钟山区, ,413112784 2023-01-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
43,674, , ,贵州卫视,AVS+,DRA,开锁, , ,钟山区, ,413112784 2023-01-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
44,730, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650, , ,邯郸的人 2017-11-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
45,730, , ,中央电视台经济频道,AVS+,DRA,开锁,513,660, , ,邯郸的人 2017-11-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
46,730, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670, , ,邯郸的人 2017-11-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
47,730, , ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680, , ,邯郸的人 2017-11-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
48,730, , ,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690, , ,邯郸的人 2017-11-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
49,730, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700, , ,邯郸的人 2017-11-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
50,730, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710, , ,邯郸的人 2017-11-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
51,730, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720, , ,邯郸的人 2017-11-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
52,738, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650, , ,邯郸的人 2017-11-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
53,738, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660, , ,邯郸的人 2017-11-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
