index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,211, , ,广西卫视,AVS+,DRA,NDS,1011,1013,三江,4QAM PN595 4/5(0.8),姚你玩 2023-08-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,211, , ,广西 新闻,AVS+,DRA,NDS,1061,1063,三江,4QAM PN595 4/5(0.8),姚你玩 2023-08-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,211, , ,柳州新闻综合,AVS+,DRA,NDS,2291,2293,三江,4QAM PN595 4/5(0.8),姚你玩 2023-08-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,211, , ,三江新闻综合,AVS+,DRA,NDS,515,680,三江,4QAM PN595 4/5(0.8),姚你玩 2023-08-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,474, , ,中央电视台农业农村频道,AVS+,DRA,NDS,512,650,三江, ,zzm 420363793 2018-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,474, , ,中央电视台纪录频道,AVS+,DRA,NDS,513,660,三江, ,zzm 420363793 2018-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,474, , ,中央电视台戏曲频道,AVS+,DRA,NDS,514,670,三江, ,zzm 420363793 2018-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,474, , ,中国环球新闻网新闻频道,AVS+,DRA,NDS,515,680,三江, ,zzm 420363793 2018-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,474, , ,广西综艺,AVS+,DRA,开锁,1021,1023,三江, ,zzm 420363793 2018-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,474, , ,广西卫视,AVS+,DRA,开锁, , ,三江, ,zzm 420363793 2018-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,474, , ,三江新闻综合,AVS+,MPEG-1,开锁,101,102,三江, ,zzm 420363793 2018-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,474, , ,中央电视台农业农村频道,AVS+,DRA,NDS,512,650,鹿寨, ,五菱 2017-10-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,474, , ,中央电视台纪录频道,AVS+,DRA,NDS,513,660,鹿寨, ,五菱 2017-10-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
