index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474, , ,[中央电视台农业农村频道](http://www.cctv.com),AVS+,DRA,开锁,512,650,市区, ,308241170 2016-12-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,474, , ,[中央电视台纪录频道](http://www.cctv.com),AVS+,DRA,开锁,513,660,市区, ,308241170 2016-12-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,474, , ,[中央电视台戏曲频道](http://www.cctv.com),AVS+,DRA,开锁,514,670,市区, ,308241170 2016-12-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,474, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,市区, ,308241170 2016-12-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,474, , ,福建综合,AVS+,DRA,开锁,311,312,市区, ,308241170 2016-12-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,474, , ,福建东南卫视,AVS+,DRA,开锁,321,322,市区, ,308241170 2016-12-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,474, , ,福建新闻,AVS+,DRA,开锁,331,332,市区, ,308241170 2016-12-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,474, , ,龙岩综合,AVS+,DRA,开锁,341,342,市区, ,308241170 2016-12-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,474, , ,广西卫视,AVS+,DRA,开锁,50,51,市区, ,308241170 2016-12-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,474, , ,广东卫视,AVS+,DRA,开锁,53,54,市区, ,308241170 2016-12-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,474, , ,云南卫视,AVS+,DRA,开锁,769,770,市区, ,308241170 2016-12-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,498, , ,福建综合,AVS+,DRA,开锁, , ,漳平, ,蓝天白云2023-12-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,498, , ,福建东南卫视,AVS+,DRA,开锁, , ,漳平, ,蓝天白云2023-12-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,498, , ,龙岩综合,AVS+,DRA,开锁, , ,漳平, ,蓝天白云2023-12-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,498, , ,漳平电视台,AVS+,DRA,开锁, , ,漳平, ,蓝天白云2023-12-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,554,水平, ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,漳平 长汀 武平 连城, ,橄榄树 2022-07-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,554,水平, ,中央电视台财经频道,AVS+,DRA,开锁,513,660,漳平 长汀 武平 连城, ,橄榄树 2022-07-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
