index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474,水平, ,湖南公共,MPEG-4,MPEG-1, , , ,冷水江, ,华容小禹 2019-07-01,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,474,水平, ,湖南经视,MPEG-4,MPEG-1, , , ,冷水江, ,华容小禹 2019-07-01,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,474,水平, ,移动导视,MPEG-4,MPEG-1,开锁, , ,冷水江, ,华容小禹 2019-07-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,474,水平, ,湖南卫视,MPEG-4,MPEG-1,开锁, , ,冷水江, ,华容小禹 2019-07-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,474,水平, ,湖南娱乐,MPEG-4,MPEG-1, , , ,冷水江, ,华容小禹 2019-07-01,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,474,水平, ,湖南都市,MPEG-4,MPEG-1, , , ,冷水江, ,华容小禹 2019-07-01,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,474,水平, ,金鹰卡通,MPEG-4,MPEG-1, , , ,冷水江, ,华容小禹 2019-07-01,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,474,水平, ,移动戏曲,MPEG-4,MPEG-1, , , ,冷水江, ,华容小禹 2019-07-01,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,474,水平, ,湖南电影,MPEG-4,MPEG-1, , , ,冷水江, ,华容小禹 2019-07-01,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,514, , ,中央电视台农业农村频道,AVS+,DRA,开锁, , ,涟源市香乐山, ,tgx1210 2018-08-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,514, , ,中央电视台纪录频道,AVS+,DRA,开锁, , ,涟源市香乐山, ,tgx1210 2018-08-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,514, , ,中央电视台戏曲频道,AVS+,DRA,开锁, , ,涟源市香乐山, ,tgx1210 2018-08-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,514, , ,中国环球电视网新闻频道,AVS+,DRA,开锁, , ,涟源市香乐山, ,tgx1210 2018-08-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,514, , ,涟源综合,AVS+,DRA,开锁, , ,涟源市香乐山, ,tgx1210 2018-08-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,514, , ,娄底综合,AVS+,DRA,开锁,58,59,涟源市香乐山, ,tgx1210 2018-08-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,514, , ,湖南卫视,AVS+,DRA,开锁, , ,涟源市香乐山, ,tgx1210 2018-08-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,514, , ,湖南经视,AVS+,DRA,开锁, , ,涟源市香乐山, ,tgx1210 2018-08-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,514, , ,湖南都市,AVS+,DRA,开锁, , ,涟源市香乐山, ,tgx1210 2018-08-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
