index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474, , ,中央电视台农业农村频道,AVS+,DRA,开锁, , ,霍山县南岳山, ,发现锅盖2023-04-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,474, , ,中央电视台纪录频道,AVS+,DRA,开锁, , ,霍山县南岳山, ,发现锅盖2023-04-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,474, , ,中央电视台戏曲频道,AVS+,DRA,开锁, , ,霍山县南岳山, ,发现锅盖2023-04-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,474, , ,中国环球电视网新闻频道,AVS+,DRA,开锁, , ,霍山县南岳山, ,发现锅盖2023-04-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,474, , ,安徽卫视,AVS+,DRA,开锁, , ,霍山县南岳山, ,发现锅盖2023-04-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,474, , ,安徽经济,AVS+,DRA,开锁, , ,霍山县南岳山, ,发现锅盖2023-04-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,474, , ,安徽公共,AVS+,DRA,开锁, , ,霍山县南岳山, ,发现锅盖2023-04-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,474, , ,霍山综合,AVS+,DRA,开锁, , ,霍山县南岳山, ,发现锅盖2023-04-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,506, , ,安徽卫视,AVS+,DRA,开锁, , ,市区, ,发现锅盖 2022-12-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,506, , ,安徽公关,AVS+,DRA,开锁, , ,市区, ,发现锅盖 2022-12-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,506, , ,安徽经济生活,AVS+,DRA,开锁, , ,市区, ,发现锅盖 2022-12-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,506, , ,安徽农业科技,AVS+,DRA,开锁, , ,市区, ,发现锅盖 2022-12-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,506, , ,安徽影视,AVS+,DRA,开锁, , ,市区, ,发现锅盖 2022-12-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,506, , ,安徽综艺体育,AVS+,DRA,开锁, , ,市区, ,发现锅盖 2022-12-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,514, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,市区, ,发现锅盖 2022-12-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,514, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,市区, ,发现锅盖 2022-12-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,514, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,市区, ,发现锅盖 2022-12-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,514, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,市区, ,发现锅盖 2022-12-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,514, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,市区, ,发现锅盖 2022-12-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,514, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,市区, ,发现锅盖 2022-12-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,514, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,市区, ,发现锅盖 2022-12-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,514, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,市区, ,发现锅盖 2022-12-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,514, ,101,中国之声, ,MPEG-1,开锁, ,730,市区, ,发现锅盖 2022-12-11,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,514, ,102,经济之声, ,MPEG-1,开锁, ,740,市区, ,发现锅盖 2022-12-11,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,514, ,103,音乐之声, ,MPEG-1,开锁, ,750,市区, ,发现锅盖 2022-12-11,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,514, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,市区, ,发现锅盖 2022-12-11,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,514, ,105,台海之声, ,MPEG-1,开锁, ,770,市区, ,发现锅盖 2022-12-11,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,514, ,106,神州之声, ,MPEG-1,开锁, ,780,市区, ,发现锅盖 2022-12-11,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,514, ,108,民族之声, ,MPEG-1,开锁, ,790,市区, ,发现锅盖 2022-12-11,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,514, ,109,文艺之声, ,MPEG-1,开锁, ,800,市区, ,发现锅盖 2022-12-11,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,514, ,110,老年之声, ,MPEG-1,开锁, ,810,市区, ,发现锅盖 2022-12-11,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,514, ,112,阅读之声, ,MPEG-1,开锁, ,820,市区, ,发现锅盖 2022-12-11,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,514, ,115,中国交通广播, ,MPEG-1,开锁, ,830,市区, ,发现锅盖 2022-12-11,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,514, ,116,中国乡村之声, ,MPEG-1,开锁, ,840,市区, ,发现锅盖 2022-12-11,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,618,水平, ,安徽卫视,AVS+,DRA,开锁, , ,市区, ,1302290023 2023-06-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,618,水平, ,安徽公共,AVS+,DRA,开锁, , ,市区, ,1302290023 2023-06-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,618,水平, ,六安综合,AVS+,DRA,开锁, , ,市区, ,1302290023 2023-06-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,618,水平, ,六安公共,AVS+,DRA,开锁, , ,市区, ,1302290023 2023-06-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
38,618, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,舒城县春秋乡, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
39,618, , ,中央电视台财经频道,AVS+,DRA,开锁,513,660,舒城县春秋乡, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
40,618, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,舒城县春秋乡, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
41,618, , ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,舒城县春秋乡, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
42,618, , ,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690,舒城县春秋乡, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
43,618, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,舒城县春秋乡, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
44,618, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,舒城县春秋乡, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
45,618, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,舒城县春秋乡, ,半夏的记忆2020-08-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
46,626, , ,中央电视台农业农村频道,AVS+,DRA,开锁, , ,舒城县, ,安徽合肥小宝2023-02-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
47,626, , ,中央电视台纪录频道,AVS+,DRA,开锁, , ,舒城县, ,安徽合肥小宝2023-02-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
48,626, , ,中央电视台戏曲频道,AVS+,DRA,开锁, , ,舒城县, ,安徽合肥小宝2023-02-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
49,626, , ,中国环球电视网新闻频道,AVS+,DRA,开锁, , ,舒城县, ,安徽合肥小宝2023-02-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
50,626, , ,安徽卫视,AVS+,DRA,开锁, , ,舒城县, ,安徽合肥小宝2023-02-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
