index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,514,垂直,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,市区, ,赤道经纬2024-02-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,514,垂直,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,市区, ,赤道经纬2024-02-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,514,垂直,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,市区, ,赤道经纬2024-02-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,514,垂直,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,市区, ,赤道经纬2024-02-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,514,垂直,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,市区, ,赤道经纬2024-02-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,514,垂直,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,市区, ,赤道经纬2024-02-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,514,垂直,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,市区, ,赤道经纬2024-02-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,514,垂直,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,市区, ,赤道经纬2024-02-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,514,垂直,101,中国之声, ,MPEG-1,开锁, ,730,市区, ,赤道经纬2024-02-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,514,垂直,102,经济之声, ,MPEG-1,开锁, ,740,市区, ,赤道经纬2024-02-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,514,垂直,103,音乐之声, ,MPEG-1,开锁, ,750,市区, ,赤道经纬2024-02-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,514,垂直,104,经典音乐广播, ,MPEG-1,开锁, ,760,市区, ,赤道经纬2024-02-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,514,垂直,105,台海之声, ,MPEG-1,开锁, ,770,市区, ,赤道经纬2024-02-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
