index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,482,水平, ,[中央电视台戏曲频道](http://www.cctv.com),AVS,MPEG-1,开锁,35,36,汝阳, ,伊川卫视2017-08-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,482,水平, ,[中央电视台社会与法频道](http://www.cctv.com),AVS,MPEG-1,开锁,39,40,汝阳, ,伊川卫视2017-08-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,482,水平, ,[中央电视台新闻频道](http://www.cctv.com),AVS,MPEG-1,开锁,43,44,汝阳, ,伊川卫视2017-08-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,482,水平, ,江苏卫视,AVS,MPEG-1,开锁,47,48,汝阳, ,伊川卫视2017-08-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,482,水平, ,安徽卫视,AVS,MPEG-1,开锁,51,52,汝阳, ,伊川卫视2017-08-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,482,水平, ,北京卫视,AVS,MPEG-1,开锁,55,56,汝阳, ,伊川卫视2017-08-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,482,水平, ,上海东方卫视,AVS,MPEG-1,开锁,59,60,汝阳, ,伊川卫视2017-08-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,482,水平, ,天华影视,AVS,MPEG-1,开锁,63,64,汝阳, ,伊川卫视2017-08-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,490,水平, ,天津卫视,AVS,MPEG-1,开锁,1283,1284,汝阳, ,伊川卫视2017-08-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,490,水平, ,湖北卫视,AVS,MPEG-1,开锁,1315,1316,汝阳, ,伊川卫视2017-08-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,490,水平, ,深圳卫视,AVS,MPEG-1,开锁,1331,1332,汝阳, ,伊川卫视2017-08-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,490,水平, ,四川卫视,AVS,MPEG-1,开锁,1299,1300,汝阳, ,伊川卫视2017-08-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,490,水平, ,山东卫视,AVS,MPEG-1,开锁,1347,1348,汝阳, ,伊川卫视2017-08-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,490,水平, ,河南卫视,AVS,MPEG-1,开锁,1363,1364,汝阳, ,伊川卫视2017-08-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,490,水平, ,洛阳一套,AVS,MPEG-1,开锁,1379,1380,汝阳, ,伊川卫视2017-08-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,490,水平, ,汝阳一套,AVS,MPEG-1,开锁,1395,1396,汝阳, ,伊川卫视2017-08-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,498,水平, ,[中央电视台体育频道](http://www.cctv.com),AVS,MPEG-1,开锁,1539,1540,汝阳, ,伊川卫视2017-08-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,498,水平, ,[中央电视台电影频道](http://www.cctv.com),AVS,MPEG-1,开锁,1555,1556,汝阳, ,伊川卫视2017-08-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,498,水平, ,湖南卫视,AVS,MPEG-1,开锁,1571,1572,汝阳, ,伊川卫视2017-08-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,498,水平, ,CHC家庭影院,AVS,MPEG-1,开锁,1603,1604,汝阳, ,伊川卫视2017-08-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,498,水平, ,[中央电视台综艺频道](http://www.cctv.com),AVS,MPEG-1,开锁,1619,1620,汝阳, ,伊川卫视2017-08-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,498,水平, ,[中央电视台电视剧频道](http://www.cctv.com),AVS,MPEG-1,开锁,1635,1636,汝阳, ,伊川卫视2017-08-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,498,水平, ,河南都市,AVS,MPEG-1,开锁,1651,1652,汝阳, ,伊川卫视2017-08-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
23,498,水平, ,浙江卫视,AVS,MPEG-1,开锁,1686,1687,汝阳, ,伊川卫视2017-08-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
24,506,垂直, ,河南民生,AVS,MPEG-1,开锁,1795,1796,汝阳, ,似曾相识123 2019-04-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
25,506,垂直, ,河南公共,AVS,MPEG-1,开锁,1827,1828,汝阳, ,似曾相识123 2019-04-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
26,506,垂直, ,河南新农村,AVS,MPEG-1,开锁,1843,1844,汝阳, ,似曾相识123 2019-04-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
27,506,垂直, ,凤凰卫视中文台,AVS,MPEG-1,开锁,1811,1812,汝阳, ,似曾相识123 2019-04-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
28,506,垂直, ,金鹰卡通,AVS,MPEG-1,开锁,1859,1860,汝阳, ,似曾相识123 2019-04-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
29,506,垂直, ,梨园,AVS,MPEG-1,开锁,1875,1876,汝阳, ,似曾相识123 2019-04-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
30,506,垂直, ,四海钓鱼,AVS,MPEG-1,开锁,1891,1892,汝阳, ,似曾相识123 2019-04-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
31,506,垂直, ,风云剧场,AVS,MPEG-1,开锁,1907,1908,汝阳, ,似曾相识123 2019-04-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
32,514,水平, ,[中央电视台经济频道](http://www.cctv.com),AVS,MPEG-1,开锁,787,788,汝阳, ,伊川卫视2017-08-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
