index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,490, , ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,孝义, ,海卫星 2019-03-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,490, , ,中央电视台财经频道,AVS+,DRA,开锁,513,660,孝义, ,海卫星 2019-03-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,490, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,孝义, ,海卫星 2019-03-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,490, , ,中央电视台科教频道,AVS+,DRA,开锁,515,680,孝义, ,海卫星 2019-03-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,490, , ,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA,开锁,516,690,孝义, ,海卫星 2019-03-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,490, , ,中央电视台新闻频道,AVS+,DRA,开锁,517,700,孝义, ,海卫星 2019-03-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,490, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,孝义, ,海卫星 2019-03-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,490, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,孝义, ,海卫星 2019-03-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,554, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,临县, ,hy261314 2018-04-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,554, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,临县, ,hy261314 2018-04-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,554, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,临县, ,hy261314 2018-04-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,554, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,临县, ,hy261314 2018-04-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,554, , ,山西卫视,AVS+,DRA, , , ,临县, ,hy261314 2018-04-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,554, , ,吕梁一套,AVS+,DRA, , , ,临县, ,hy261314 2018-04-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,554, , ,【临县电视台 黑屏】,AVS+,DRA, , , ,临县, ,hy261314 2018-04-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
