index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,211, , ,当涂新闻综合,AVS+,MPEG-1,开锁,257,268,当涂,16QAM PN420 4/5(0.8),zhang yaochun 2023-06-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,211, , ,马鞍山新闻综合,AVS+,MPEG-1,开锁,260,261,当涂,16QAM PN420 4/5(0.8),zhang yaochun 2023-06-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,211, , ,安徽卫视,AVS+,DRA,开锁,1281,1282,当涂,16QAM PN420 4/5(0.8),zhang yaochun 2023-06-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,482, , ,中央电视台综合频道,AVS+,DRA, ,512,650,佳山公园, ,ahmas 2018-02-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,482, , ,中央电视台财经频道,AVS+,DRA, ,513,660,佳山公园, ,ahmas 2018-02-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,482, , ,中央电视台中文国际频道,AVS+,DRA, ,514,670,佳山公园, ,ahmas 2018-02-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,482, , ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA, ,515,680,佳山公园, ,ahmas 2018-02-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,482, , ,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA, ,516,690,佳山公园, ,ahmas 2018-02-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,482, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA, ,517,700,佳山公园, ,ahmas 2018-02-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,482, , ,中央电视台少儿频道,AVS+,DRA, ,518,710,佳山公园, ,ahmas 2018-02-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,482, , ,中央电视台音乐频道,AVS+,DRA, ,519,720,佳山公园, ,ahmas 2018-02-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,618, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,市区, ,1302290023 2022-10-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,618, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,市区, ,1302290023 2022-10-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,618, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,市区, ,1302290023 2022-10-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
