index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,211, ,1001,广东体育,MPEG-2,MPEG-2,开锁,5001,5002,高州笔架山, ,fly2 2022-09-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,211, ,1002,广东珠江,MPEG-2,MPEG-2,开锁,5003,5004,高州笔架山, ,fly2 2022-09-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,211, , ,广东经济科教（TVS1）,MPEG-2,DRA,开锁, , ,高州笔架山, ,fly2 2022-09-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,211, , ,茂名综合,MPEG-2,DRA,开锁, , ,高州笔架山, ,fly2 2022-09-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,211, , ,高州综合,MPEG-2,DRA,开锁, , ,高州笔架山, ,fly2 2022-09-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,474, , ,广东新闻,MPEG-2,DRA,开锁, , , , ,海誓山盟 2019-03-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,474, , ,广东珠江,MPEG-2,DRA,开锁, , , , ,海誓山盟 2019-03-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,474, , ,广东体育,MPEG-2,DRA,开锁, , , , ,海誓山盟 2019-03-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,474, , ,茂名综合,MPEG-2,DRA,开锁, , , , ,海誓山盟 2019-03-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,474, , ,广东经济科教（TVS1）,MPEG-2,DRA,开锁, , , , ,海誓山盟 2019-03-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,482, , ,广东经济科教（TVS1）,MPEG-2,DRA,开锁, , ,电白, ,浪漫飞鸟2022-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,482, , ,广东珠江,MPEG-2,DRA,开锁, , ,电白, ,浪漫飞鸟2022-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,482, , ,广东体育,MPEG-2,DRA,开锁, , ,电白, ,浪漫飞鸟2022-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,482, , ,茂名综合,MPEG-2,DRA,开锁, , ,电白, ,浪漫飞鸟2022-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,482, , ,电白综合台,MPEG-2,DRA,开锁, , ,电白, ,浪漫飞鸟2022-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,490, , ,茂名综合,MPEG-2,DRA,开锁,5005,5006,茂名化州宝山, ,廉江人 2017-04-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,490, , ,广东珠江,MPEG-2,DRA,开锁,5003,5004,茂名化州宝山, ,廉江人 2017-04-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,490, , ,广东体育,MPEG-2,DRA,开锁,5001,5002,茂名化州宝山, ,廉江人 2017-04-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,490, , ,广东经济科教（TVS1）,MPEG-2,DRA,开锁,5007,5008,茂名化州宝山, ,廉江人 2017-04-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,490, , ,化州综合,MPEG-2,DRA,开锁,5009,5010,茂名化州宝山, ,廉江人 2017-04-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,514,垂直,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,信宜大田顶 电白锅盖顶, ,81698138好 2024-03-08浪漫飞鸟,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,514,垂直,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,信宜大田顶 电白锅盖顶, ,81698138好 2024-03-08浪漫飞鸟,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,514,垂直,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,信宜大田顶 电白锅盖顶, ,81698138好 2024-03-08浪漫飞鸟,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,514,垂直,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,信宜大田顶 电白锅盖顶, ,81698138好 2024-03-08浪漫飞鸟,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,514,垂直,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,信宜大田顶 电白锅盖顶, ,81698138好 2024-03-08浪漫飞鸟,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,514,垂直,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,信宜大田顶 电白锅盖顶, ,81698138好 2024-03-08浪漫飞鸟,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,514,垂直,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,信宜大田顶 电白锅盖顶, ,81698138好 2024-03-08浪漫飞鸟,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,514,垂直,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,信宜大田顶 电白锅盖顶, ,81698138好 2024-03-08浪漫飞鸟,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,514,垂直,101,中国之声, ,MPEG-1,开锁, ,730,信宜大田顶 电白锅盖顶, ,81698138好 2024-03-08浪漫飞鸟,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,514,垂直,102,经济之声, ,MPEG-1,开锁, ,740,信宜大田顶 电白锅盖顶, ,81698138好 2024-03-08浪漫飞鸟,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
