index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,482, , ,龙泉电视台,MPEG-4,MPEG-1,开锁, , , , ,眉山锅锅2022-11-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,482, , ,四川卫视,MPEG-4,MPEG-1,开锁, , , , ,眉山锅锅2022-11-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,482, , ,中央电视台综艺频道,MPEG-4,MPEG-1, , , , , ,眉山锅锅2022-11-14,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,482, , ,四川电视3台（经济）,MPEG-4,MPEG-1,开锁, , , , ,眉山锅锅2022-11-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,482, , ,中央电视台体育频道,MPEG-4,MPEG-1, , , , , ,眉山锅锅2022-11-14,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,482, , ,蒲江电视台,MPEG-4,MPEG-1,开锁, , , , ,眉山锅锅2022-11-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,482, , ,新津电视台,MPEG-4,MPEG-1,开锁, , , , ,眉山锅锅2022-11-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,482, , ,峨眉电影,MPEG-4,MPEG-1, , , , , ,眉山锅锅2022-11-14,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,482, , ,金堂电视台,MPEG-4,MPEG-1,开锁, , , , ,眉山锅锅2022-11-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,482, , ,成都一套（新闻综合）,MPEG-4,MPEG-1,开锁, , , , ,眉山锅锅2022-11-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,482, , ,成都二套（经济资讯）,MPEG-4,MPEG-1,开锁, , , , ,眉山锅锅2022-11-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,522, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650, , ,眉山锅锅2022-11-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,522, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660, , ,眉山锅锅2022-11-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
