index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,179, ,1,广东珠江,MPEG-2,DRA,开锁,5001,5002,兴宁,16QAM PN420 4/5(0.8),lpxx50117 2022-10-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,179, ,2,广东体育,MPEG-2,DRA,开锁,5003,5004,兴宁,16QAM PN420 4/5(0.8),lpxx50117 2022-10-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,179, ,3,广东经济科教（TVS1）,MPEG-2,DRA,开锁,5005,5006,兴宁,16QAM PN420 4/5(0.8),lpxx50117 2022-10-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,179, ,4,广东经济科教（TVS1）,MPEG-2,DRA,开锁,5007,5008,兴宁,16QAM PN420 4/5(0.8),lpxx50117 2022-10-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,179, ,5,兴宁综合,MPEG-2,DRA,开锁,5009,5010,兴宁,16QAM PN420 4/5(0.8),lpxx50117 2022-10-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,203, , ,广东珠江,MPEG-2,MPEG-2,开锁,162,88,梅县区潮塘发射台, ,lpxx50117 2022-08-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,203, , ,广东体育,MPEG-2,MPEG-2,开锁,163,92,梅县区潮塘发射台, ,lpxx50117 2022-08-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,203, , ,广东经济科教（TVS1）,MPEG-2,MPEG-2,开锁,52,53,梅县区潮塘发射台, ,lpxx50117 2022-08-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,203, , ,梅州一套,MPEG-2,MPEG-2,开锁,50,51,梅县区潮塘发射台, ,lpxx50117 2022-08-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,203, , ,梅县一套,MPEG-2,MPEG-2,开锁,160,80,梅县区潮塘发射台, ,lpxx50117 2022-08-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
