index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,498, , ,中央电视台综合频道,MPEG-4,MPEG-1,开锁,1012,1013,西山公园523台, ,司空曌 2023-10-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,498, , ,中央电视台科教频道,MPEG-4,MPEG-1,开锁,1018,1019,西山公园523台, ,司空曌 2023-10-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,498, , ,四川卫视,MPEG-4,MPEG-1,开锁,1072,1073,西山公园523台, ,司空曌 2023-10-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,498, , ,绵阳综合,MPEG-4,MPEG-1,开锁,1056,1057,西山公园523台, ,司空曌 2023-10-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,498, , ,绵阳公共,MPEG-4,MPEG-1, ,1058,1059,西山公园523台, ,司空曌 2023-10-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,498, , ,绵阳科教,MPEG-4,MPEG-1, ,1060,1061,西山公园523台, ,司空曌 2023-10-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,498, , ,凤凰卫视中文台,MPEG-4,MPEG-1, , , ,西山公园523台, ,司空曌 2023-10-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,498, , ,深圳卫视,MPEG-4,MPEG-1, , , ,西山公园523台, ,司空曌 2023-10-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,498, , ,天津卫视,MPEG-4,MPEG-1, , , ,西山公园523台, ,司空曌 2023-10-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,498, , ,中央电视台中文国际频道,MPEG-4,MPEG-1, , , ,西山公园523台, ,司空曌 2023-10-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
