index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,538, ,100,黑龙江卫视,AVS+,DRA,开锁,16485,24678,东宁, ,Mr.冯 2022-10-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,538, ,200,黑龙江新闻,AVS+,DRA,开锁,16585,24778,东宁, ,Mr.冯 2022-10-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,538, ,300,黑龙江公共农业,AVS+,DRA,开锁,16685,24878,东宁, ,Mr.冯 2022-10-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,538, ,400,黑龙江少儿,AVS+,DRA,开锁,16785,24978,东宁, ,Mr.冯 2022-10-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,546,水平,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,东宁, ,Mr.冯 2022-10-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,546,水平,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,东宁, ,Mr.冯 2022-10-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,546,水平,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,东宁, ,Mr.冯 2022-10-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,546,水平,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,东宁, ,Mr.冯 2022-10-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,546,水平,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,东宁, ,Mr.冯 2022-10-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,546,水平,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,东宁, ,Mr.冯 2022-10-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
