index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,546, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,江西广播电视台发射台 柴嗓区, ,元氏老宋2023-02-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,546, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,江西广播电视台发射台 柴嗓区, ,元氏老宋2023-02-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,546, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,江西广播电视台发射台 柴嗓区, ,元氏老宋2023-02-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,546, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,江西广播电视台发射台 柴嗓区, ,元氏老宋2023-02-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,546, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,江西广播电视台发射台 柴嗓区, ,元氏老宋2023-02-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,546, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,江西广播电视台发射台 柴嗓区, ,元氏老宋2023-02-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,546, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,江西广播电视台发射台 柴嗓区, ,元氏老宋2023-02-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,546, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,江西广播电视台发射台 柴嗓区, ,元氏老宋2023-02-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,546, ,101,中国之声, ,MPEG-1,开锁, ,730,江西广播电视台发射台 柴嗓区, ,元氏老宋2023-02-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,546, ,102,经济之声, ,MPEG-1,开锁, ,740,江西广播电视台发射台 柴嗓区, ,元氏老宋2023-02-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,546, ,103,音乐之声, ,MPEG-1,开锁, ,750,江西广播电视台发射台 柴嗓区, ,元氏老宋2023-02-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,546, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,江西广播电视台发射台 柴嗓区, ,元氏老宋2023-02-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,546, ,105,台海之声, ,MPEG-1,开锁, ,770,江西广播电视台发射台 柴嗓区, ,元氏老宋2023-02-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,546, ,106,神州之声, ,MPEG-1,开锁, ,780,江西广播电视台发射台 柴嗓区, ,元氏老宋2023-02-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,546, ,108,民族之声, ,MPEG-1,开锁, ,790,江西广播电视台发射台 柴嗓区, ,元氏老宋2023-02-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,546, ,109,文艺之声, ,MPEG-1,开锁, ,800,江西广播电视台发射台 柴嗓区, ,元氏老宋2023-02-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,546, ,110,老年之声, ,MPEG-1,开锁, ,810,江西广播电视台发射台 柴嗓区, ,元氏老宋2023-02-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,546, ,112,阅读之声, ,MPEG-1,开锁, ,820,江西广播电视台发射台 柴嗓区, ,元氏老宋2023-02-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,546, ,115,中国交通广播, ,MPEG-1,开锁, ,830,江西广播电视台发射台 柴嗓区, ,元氏老宋2023-02-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,546, ,116,中国乡村之声, ,MPEG-1,开锁, ,840,江西广播电视台发射台 柴嗓区, ,元氏老宋2023-02-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,618, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,新建区, ,元氏老宋2023-02-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,618, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,新建区, ,元氏老宋2023-02-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,618, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,新建区, ,元氏老宋2023-02-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,618, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,新建区, ,元氏老宋2023-02-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,618, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,新建区, ,元氏老宋2023-02-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,618, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,新建区, ,元氏老宋2023-02-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,618, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,新建区, ,元氏老宋2023-02-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,618, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,新建区, ,元氏老宋2023-02-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,618, ,101,中国之声, ,MPEG-1,开锁, ,730,新建区, ,元氏老宋2023-02-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,618, ,102,经济之声, ,MPEG-1,开锁, ,740,新建区, ,元氏老宋2023-02-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,618, ,103,音乐之声, ,MPEG-1,开锁, ,750,新建区, ,元氏老宋2023-02-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,618, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,新建区, ,元氏老宋2023-02-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,618, ,105,台海之声, ,MPEG-1,开锁, ,770,新建区, ,元氏老宋2023-02-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
