index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,490, , ,江宁新闻高清,AVS+,DRA,开锁, , ,江宁, ,nj2009 2024-02-07,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,490, , ,江宁生活,AVS+,DRA,开锁, , ,江宁, ,nj2009 2024-02-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,490, , ,江宁广播, , ,开锁, , ,江宁, ,nj2009 2024-02-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,490, , ,应急广播, , ,开锁, , ,江宁, ,nj2009 2024-02-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,538, , ,[中央电视台综合频道](http://www.cctv.com),AVS+,DRA,开锁,512,650,市区,16QAM PN945 4/5(0.8),xxj737 2023-12-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,538, , ,[中央电视台财经频道](http://www.cctv.com),AVS+,DRA,开锁,513,660,市区,16QAM PN945 4/5(0.8),xxj737 2023-12-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,538, , ,[中央电视台中文国际频道](http://www.cctv.com),AVS+,DRA,开锁,514,670,市区,16QAM PN945 4/5(0.8),xxj737 2023-12-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,538, , ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,市区,16QAM PN945 4/5(0.8),xxj737 2023-12-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,538, , ,中央电视台社会与法频道,AVS+,DRA,开锁,516,690,市区,16QAM PN945 4/5(0.8),xxj737 2023-12-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,538, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,市区,16QAM PN945 4/5(0.8),xxj737 2023-12-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,538, , ,[中央电视台少儿频道](http://www.cctv.com),AVS+,DRA,开锁,518,710,市区,16QAM PN945 4/5(0.8),xxj737 2023-12-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,538, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,市区,16QAM PN945 4/5(0.8),xxj737 2023-12-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
