index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,171, , ,广西卫视,AVS+,DRA,开锁,1011,1013,邕宁侧占岭, ,BG7XTK 2023-12-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,171, , ,广西新闻,AVS+,DRA,开锁,1061,1063,邕宁侧占岭, ,BG7XTK 2023-12-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,171, , ,南宁新闻综合,AVS+,DRA,开锁,2211,2212,邕宁侧占岭, ,BG7XTK 2023-12-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,171, ,1,南宁新闻综合频道,MPEG-4,MPEG-1,开锁,32,305,市区,16QAM PN420 4/5(0.8),澳星HD 2024-02-25 pjq58,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,171, ,2,南宁旅游生活频道,MPEG-4,MPEG-1,开锁,132,1305,市区,16QAM PN420 4/5(0.8),澳星HD 2024-02-25 pjq58,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,171, ,3,南宁影视娱乐频道,MPEG-4,MPEG-1,开锁,332,3305,市区,16QAM PN420 4/5(0.8),澳星HD 2024-02-25 pjq58,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,171, ,4,南宁公共频道,MPEG-4,MPEG-1,开锁,432,4305,市区,16QAM PN420 4/5(0.8),澳星HD 2024-02-25 pjq58,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,171, , ,南宁新闻综合广播, ,MPEG-1, , , ,市区,16QAM PN420 4/5(0.8),澳星HD 2024-02-25 pjq58,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,171, , ,南宁交通音乐广播, ,MPEG-1, , , ,市区,16QAM PN420 4/5(0.8),澳星HD 2024-02-25 pjq58,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,171, , ,南宁乡村生活广播, ,MPEG-1, , , ,市区,16QAM PN420 4/5(0.8),澳星HD 2024-02-25 pjq58,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,171, , ,南宁故事广播, ,MPEG-1, , , ,市区,16QAM PN420 4/5(0.8),澳星HD 2024-02-25 pjq58,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
