index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,179,垂直, ,海安电视台,AVS+,DRA,开锁, , ,海安,4QAM PN595 4/5(0.8),挥洒云烟2022-11-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,498,水平, ,如东一套,AVS+,DRA,开锁, , ,如东, ,天线爱好者2023-06-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,498,水平, ,如东二套,AVS+,DRA,开锁, , ,如东, ,天线爱好者2023-06-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,498,水平, ,如东三套,AVS+,DRA,开锁, , ,如东, ,天线爱好者2023-06-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,522,水平, ,南通新闻综合,AVS+,DRA,开锁,544,4144,市区, ,srbwan 2023-07-24,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,522,水平, ,南通二套,AVS+,DRA,开锁,512,4112,市区, ,srbwan 2023-07-24,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,530,水水平平,401,中央电视台农业农村频道,AVS+,DRA,NDS,512,650,市区 如皋 海安 海门 启东, ,srbwan 2022-11-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,530,水水平平,402,中央电视台纪录频道,AVS+,DRA,NDS,513,660,市区 如皋 海安 海门 启东, ,srbwan 2022-11-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,530,水水平平,403,中央电视台戏曲频道,AVS+,DRA,NDS,514,670,市区 如皋 海安 海门 启东, ,srbwan 2022-11-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,530,水水平平,404,中国环球电视网新闻频道,AVS+,DRA,NDS,515,680,市区 如皋 海安 海门 启东, ,srbwan 2022-11-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
