index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,171, , ,内江综合,AVS+,MPEG-1,开锁,360,370, ,16QAM PN420 4/5(0.8),姚你玩 2023-08-10,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,171, , ,隆昌综合,AVS+,MPEG-1,开锁,1311,1312, ,16QAM PN420 4/5(0.8),姚你玩 2023-08-10,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,171, , ,四川卫视,AVS+,MPEG-1,开锁,1111,1112, ,16QAM PN420 4/5(0.8),姚你玩 2023-08-10,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,187, , , , , , , , ,四川省广播电视局719台（磨子山） 300W,16QAM PN420 4/5(0.8),司空曌 2023-07-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,187, , , , , , , , ,四川省广播电视局719台（磨子山） 300W,16QAM PN420 4/5(0.8),司空曌 2023-07-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,187, , , , , , , , ,四川省广播电视局719台（磨子山） 300W,16QAM PN420 4/5(0.8),司空曌 2023-07-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,506, , ,北京卫视, , , , , ,隆昌, ,huangha 2018-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,506, , ,江苏卫视, , , , , ,隆昌, ,huangha 2018-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,506, , ,天津卫视, , , , , ,隆昌, ,huangha 2018-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,506, , ,深圳卫视, , , , , ,隆昌, ,huangha 2018-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,506, , ,福建东南卫视, , , , , ,隆昌, ,huangha 2018-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,506, , ,安徽卫视, , , , , ,隆昌, ,huangha 2018-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,522, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,威远, ,ljp114237712 2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,522, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,威远, ,ljp114237712 2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,522, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,威远, ,ljp114237712 2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,522, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,威远, ,ljp114237712 2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,522, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,威远, ,ljp114237712 2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,522, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,威远, ,ljp114237712 2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,522, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,威远, ,ljp114237712 2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,522, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,威远, ,ljp114237712 2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,522, ,101,中国之声, ,MPEG-1,开锁, ,730,威远, ,ljp114237712 2023-06-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,522, ,102,经济之声, ,MPEG-1,开锁, ,740,威远, ,ljp114237712 2023-06-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,522, ,103,音乐之声, ,MPEG-1,开锁, ,750,威远, ,ljp114237712 2023-06-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,522, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,威远, ,ljp114237712 2023-06-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,522, ,105,台海之声, ,MPEG-1,开锁, ,770,威远, ,ljp114237712 2023-06-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,522, ,106,神州之声, ,MPEG-1,开锁, ,780,威远, ,ljp114237712 2023-06-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,522, ,108,民族之声, ,MPEG-1,开锁, ,790,威远, ,ljp114237712 2023-06-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,522, ,109,文艺之声, ,MPEG-1,开锁, ,800,威远, ,ljp114237712 2023-06-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,522, ,110,老年之声, ,MPEG-1,开锁, ,810,威远, ,ljp114237712 2023-06-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,522, ,112,阅读之声, ,MPEG-1,开锁, ,820,威远, ,ljp114237712 2023-06-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,522, ,115,中国交通广播, ,MPEG-1,开锁, ,830,威远, ,ljp114237712 2023-06-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,522, ,116,中国乡村之声, ,MPEG-1,开锁, ,840,威远, ,ljp114237712 2023-06-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,522, , ,四川一套, , , , , ,隆昌, ,huangha 2018-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
33,522, , ,四川二套, , , , , ,隆昌, ,huangha 2018-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
34,522, , ,四川三套, , , , , ,隆昌, ,huangha 2018-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
35,522, , ,四川五套, , , , , ,隆昌, ,huangha 2018-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
36,522, , ,隆昌综合, , , , , ,隆昌, ,huangha 2018-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
37,522, , ,【内江综合 黑屏】, , , , , ,隆昌, ,huangha 2018-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
38,522, , ,【内江公共 黑屏】, , , , , ,隆昌, ,huangha 2018-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
39,522, , ,隆昌公共, , , , , ,隆昌, ,huangha 2018-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
40,522, , ,峨眉电影, , , , , ,隆昌, ,huangha 2018-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
41,522, , ,四川八套, , , , , ,隆昌, ,huangha 2018-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
42,530, , ,四川卫视,AVS+,DRA,开锁,4114,4115,威远, ,ljp114237712 2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
43,530, , ,四川电视2台（经济）,AVS+,DRA,开锁,4130,4131,威远, ,ljp114237712 2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
44,530, , ,四川文化旅游,AVS+,DRA,开锁,4146,4147,威远, ,ljp114237712 2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
45,530, , ,四川新闻,AVS+,DRA,开锁,4162,4163,威远, ,ljp114237712 2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
46,530, , ,四川影视文艺,AVS+,DRA,开锁,4178,4179,威远, ,ljp114237712 2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
