index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,490, , ,慈溪新闻综合,AVS+,DRA,开锁, , ,慈溪,4QAM 4/5(0.8),卫星电视2008 2023-05-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,490, , ,宁波一套,AVS+,DRA,开锁, , ,慈溪,4QAM 4/5(0.8),卫星电视2008 2023-05-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,490, , ,浙江卫视,AVS+,DRA,开锁, , ,慈溪,4QAM 4/5(0.8),卫星电视2008 2023-05-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,490, ,1,慈溪广播, ,MPEG-2,开锁, ,49,慈溪,4QAM 4/5(0.8),卫星电视2008 2023-05-20,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,522, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,慈溪, ,卫星电视2008 2022-08-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,522, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,慈溪, ,卫星电视2008 2022-08-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,522, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,慈溪, ,卫星电视2008 2022-08-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,522, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,慈溪, ,卫星电视2008 2022-08-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,522, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,慈溪, ,卫星电视2008 2022-08-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,522, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,慈溪, ,卫星电视2008 2022-08-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
