index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474, , ,福建东南卫视,AVS+,DRA,开锁,769,770,霞浦县, ,goodyikuang 2017-10-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,474, , ,福建综合,AVS+,DRA,开锁,51,52,霞浦县, ,goodyikuang 2017-10-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,474, , ,宁德一套,AVS+,DRA,开锁,1025,1026,霞浦县, ,goodyikuang 2017-10-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,474, , ,霞浦台,AVS+,DRA,开锁,1281,1282,霞浦县, ,goodyikuang 2017-10-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,474, , ,[中央电视台农业农村频道](http://www.cctv.com),AVS+,DRA,开锁,512,650,霞浦县, ,goodyikuang 2017-10-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,474, , ,[中央电视台纪录频道](http://www.cctv.com),AVS+,DRA,开锁,513,660,霞浦县, ,goodyikuang 2017-10-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,474, , ,[中央电视台戏曲频道](http://www.cctv.com),AVS+,DRA,开锁,514,670,霞浦县, ,goodyikuang 2017-10-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,474, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,霞浦县, ,goodyikuang 2017-10-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,538,水平, ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,福安, ,南山顶 2017-05-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,538,水平, ,中央电视台经济频道,AVS+,DRA,开锁,513,660,福安, ,南山顶 2017-05-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,538,水平, ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,福安, ,南山顶 2017-05-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,538,水平, ,中央电视台科教频道,AVS+,DRA,开锁,515,680,福安, ,南山顶 2017-05-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,538,水平, ,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA,开锁,516,690,福安, ,南山顶 2017-05-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
